name,job_title,academic_level,university,field_of_research,source_id,orcid,profile_url
Hao Zhou,Lecturer,B,Adelaide University,Finance,hao.zhou,,https://adelaide.edu.au/people/hao.zhou
Amanda Carter,Lecturer,B,Adelaide University,Accounting,amanda.carter,,https://adelaide.edu.au/people/amanda.carter
Mansoor Khan,Lecturer,B,Adelaide University,Finance,mansoor.khan,,https://adelaide.edu.au/people/mansoor.khan
Kartick Gupta,Associate Professor,D,Adelaide University,Finance,kartick.gupta,,https://adelaide.edu.au/people/kartick.gupta
Lin Crase,"Dean, School of Accounting and Finance",E,Adelaide University,Accounting,lin.crase,,https://adelaide.edu.au/people/lin.crase
Joanne Tingey-Holyoak,Associate Professor,D,Adelaide University,Accounting,joanne.tingey-holyoak,,https://adelaide.edu.au/people/joanne.tingey-holyoak
Mingwei Sun,Lecturer,B,Adelaide University,Finance,m.sun-0,0000-0003-0192-7863,https://adelaide.edu.au/people/m.sun-0
Sumin Kim,Lecturer,B,Adelaide University,Accounting,sumin.kim,0000-0001-7438-2855,https://adelaide.edu.au/people/sumin.kim
Winston Wu,Lecturer,B,Adelaide University,Finance,winston.wu,,https://adelaide.edu.au/people/winston.wu
Aise Kim,,,Adelaide University,Accounting,aise.kim,,https://adelaide.edu.au/people/aise.kim
Subha Parida,"Senior Lecturer, Property",C,Adelaide University,Accounting,subha.parida,,https://adelaide.edu.au/people/subha.parida
Kathy Rao,Senior Lecturer,C,Adelaide University,Accounting,kathy.rao,0000-0002-3924-6361,https://adelaide.edu.au/people/kathy.rao
