researcher_id,researcher_name,publication_id,relationship_source,researcher_match_method,researcher_match_confidence,requires_review,review_reason,openalex_work_id,openalex_match_method,openalex_match_confidence,openalex_candidate_count,openalex_requires_review,openalex_review_reason,cited_by_count,fwci,citation_percentile,openalex_retrieved_at
unimelb-finance-022,Dr Gabriele Lattanzio,unimelb-pub-9e29638957b0fb3a,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4372295706,exact_doi,high,1,false,,17,5.9958,0.95995267,2026-08-29T03:05:51.808Z
unimelb-finance-026,Associate Professor Bryan Lim,unimelb-pub-7c7aac8af6e5eb89,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-026,Associate Professor Bryan Lim,unimelb-pub-c1202b5d374ca8c4,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-026,Associate Professor Bryan Lim,unimelb-pub-a9f3afcc1aa4369b,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-027,Associate Professor Andrea Lu,unimelb-pub-5ee791bbb156b7f7,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3123351509,exact_doi,high,1,false,,42,5.1601,0.95262484,2026-08-29T03:05:51.808Z
unimelb-finance-027,Associate Professor Andrea Lu,unimelb-pub-ab4ce0ea25a71d22,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2572161472,exact_doi,high,1,false,,10,5.6891,0.9639902,2026-08-29T03:05:51.808Z
unimelb-finance-029,Dr Maurice McCourt,unimelb-pub-474835e5e426f9ce,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4224007560,exact_doi,high,1,false,,5,1.3839,0.82198201,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-806b5fdfd5bd886d,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4417132862,exact_doi,high,1,false,,1,1.217,0.84303002,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-655887b6a909ce59,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4416794633,exact_doi,high,1,false,,2,1.105,0.80082042,2026-08-29T03:05:51.808Z
unimelb-finance-031,Professor Carsten Murawski,unimelb-pub-064ba9e34ddb71fe,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4411089279,exact_doi,high,1,false,,0,0,0.08825821,2026-08-29T03:05:51.808Z
