review_type,university,field_of_research,researcher_id,researcher_name,publication_id,title,review_reason,source_url
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-a6bb43ff54cf4280,A Critical Examination of Data for Market Stewardship: The Case of the Australian National Disability Insurance Scheme,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/a-critical-examination-of-data-for-market-stewardship-the-case-of/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-27a3ef9dc8088874,Book Review: Histories of Fascism and Anti-Fascism in Australia,Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/book-review-histories-of-fascism-and-anti-fascism-in-australia/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-78ff3ec71503c6e0,Can Network Analysis Identify Market Problems in Quasi-Markets? : A Proof-of-concept Study on the National Disability Insurance Scheme,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/can-network-analysis-identify-market-problems-in-quasi-markets-a-/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-f7c59d64270f82fa,Managing Government Commissioning and Philanthropic Expectations: Earnings Management in Australian Nonprofit Disability Service Providers,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/managing-government-commissioning-and-philanthropic-expectations-/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-2c5e22759ff0f112,Relational Contracting Theory and Internal Audit: Chief Audit Executives' Perspectives on Creating and Strengthening Trust by Building Credibility and Clarity,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/relational-contracting-theory-and-internal-audit-chief-audit-exec/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-4f47f84c5ccfc542,Barriers to the Usefulness of Nonprofit Financial Statements: Perspectives from Key Internal Stakeholders,Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/barriers-to-the-usefulness-of-nonprofit-financial-statements-pers/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-9a8e17a010d8967c,Human Services Economic Paper 5: Myths and Biases Derailing Australian Human Service's Sustainability,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/human-services-economic-paper-5-myths-and-biases-derailing-austra/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-50cca0fb81712e97,Silver Bullets and TED Talks: Sketching Ideas on the Government/Not-for-profit Nexus in the Australian Welfare State.,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/silver-bullets-and-ted-talks-sketching-ideas-on-the-governmentnot/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-b23cb339c45917b4,Synthetic Control Method: A Tool for Comparative Case Studies in Economic History,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/synthetic-control-method-a-tool-for-comparative-case-studies-in-e/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-8068951eb96b5fbf,Western Australia's Cost Indexation for Government Purchasing of Human Services,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/western-australias-cost-indexation-for-government-purchasing-of-h/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-80f324ae840d6862,"Book Review - Gypsy Economist: The Life and Times of Colin Clark: by Alex Millmow Singapore, Palgrave Macmillan, 2021, Pp. 396",Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/book-review-gypsy-economist-the-life-and-times-of-colin-clark-by-/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-e8c42bc1ac73e68b,"Perfect Versus Possible: Kingdon's Multiple Streams Analysis, Politics and the NDIS",Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/perfect-versus-possible-kingdons-multiple-streams-analysis-politi/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-93e12221c98d299a,Should We Change The Way We Think About Market Performance When It Comes To Quasi-Markets? A New Framework For Evaluating Public Service Markets,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/should-we-change-the-way-we-think-about-market-performance-when-i/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-004,David Gilchrist,uwa-pub-884fa46f9d2d8867,Independent review of emergency economic stimulus measures: Global Financial Crisis and COVID-19,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/independent-review-of-emergency-economic-stimulus-measures-global/
