"researcher_id","researcher_name","academic_title","academic_level","publication_id","publication_title","publication_year","article_url","doi","journal","issn","eissn","abdc_rating","abdc_for","author_name_from_repository","researcher_match_method","researcher_match_confidence","abdc_match_method","abdc_match_status"
"uwa-accounting-006","Fangbin Lin","Lecturer","B","tough-ratings-tougher-sell-how-different-types-of-adjustment-affe","Tough Ratings, Tougher Sell: How Different Types of Adjustment Affect Managers’ Asymmetric Algorithm Use in Performance Evaluation Judgments","2026","https://research-repository.uwa.edu.au/en/publications/tough-ratings-tougher-sell-how-different-types-of-adjustment-affe/","10.2308/TAR-2023-0610","Accounting Review","1558-7967","","A*","3501","Fangbin Lin","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-007","George Shan","Associate Professor","D","urban-rail-transit-and-labour-cost-stickiness-evidence-from-china","Urban Rail Transit and Labour Cost Stickiness: Evidence From China","2026","https://research-repository.uwa.edu.au/en/publications/urban-rail-transit-and-labour-cost-stickiness-evidence-from-china/","10.1111/acfi.70213","Accounting and Finance","0810-5391","","A","3501","Yuan George Shan","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-004","David Gilchrist","Professor","E","a-new-approach-to-programs-for-families-and-children-submission-t","A New Approach to Programs for Families and Children: Submission to the Department of Social Services, Australian Government","2025","https://research-repository.uwa.edu.au/en/publications/a-new-approach-to-programs-for-families-and-children-submission-t/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","aasb-research-centre-working-paper-no-26-02-service-performance-r","AASB Research Centre Working Paper No. 26-02: Service Performance Reporting for Private Sector Not-for-profits - An Updated Literature Review","2025","https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-02-service-performance-r/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","aasb-research-centre-working-paper-no-26-03-service-performance-r","AASB Research Centre Working Paper No. 26-03: Service Performance Reporting - Insights from Domestic and International Experience","2025","https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-03-service-performance-r/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-013","Phil Hancock","Professor","E","aasb-research-centre-working-paper-no-26-03-service-performance-r","AASB Research Centre Working Paper No. 26-03: Service Performance Reporting - Insights from Domestic and International Experience","2025","https://research-repository.uwa.edu.au/en/publications/aasb-research-centre-working-paper-no-26-03-service-performance-r/","","","","","","","Phil Hancock","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","aasb-working-paper-no-26-01-connectivity-of-non-financial-informa","AASB Working Paper No. 26-01: Connectivity of Non-Financial Information and Financial Information - A NFP Private Sector Study","2025","https://research-repository.uwa.edu.au/en/publications/aasb-working-paper-no-26-01-connectivity-of-non-financial-informa/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-013","Phil Hancock","Professor","E","aasb-working-paper-no-26-01-connectivity-of-non-financial-informa","AASB Working Paper No. 26-01: Connectivity of Non-Financial Information and Financial Information - A NFP Private Sector Study","2025","https://research-repository.uwa.edu.au/en/publications/aasb-working-paper-no-26-01-connectivity-of-non-financial-informa/","","","","","","","Phil Hancock","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-012","Nikki Schonfeldt","Senior Lecturer","C","aasb-working-paper-no-26-01-connectivity-of-non-financial-informa","AASB Working Paper No. 26-01: Connectivity of Non-Financial Information and Financial Information - A NFP Private Sector Study","2025","https://research-repository.uwa.edu.au/en/publications/aasb-working-paper-no-26-01-connectivity-of-non-financial-informa/","","","","","","","Nikki Schonfeldt","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-002","Alex Zhang","Lecturer","B","carbon-management-system-and-firm-operational-efficiency","Carbon Management System and Firm Operational Efficiency","2025","https://research-repository.uwa.edu.au/en/publications/carbon-management-system-and-firm-operational-efficiency/","10.1111/acfi.70086","Accounting and Finance","0810-5391","","A","3501","Junru Zhang","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-004","David Gilchrist","Professor","E","costing-amp-pricing-for-human-services-framework-a-component-of-t","Costing & Pricing for Human Services Framework: A Component of the Human Services Costing & Pricing Resource Package","2025","https://research-repository.uwa.edu.au/en/publications/costing-amp-pricing-for-human-services-framework-a-component-of-t/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","costing-amp-pricing-modelling-handbook-a-component-of-the-human-s","Costing & Pricing Modelling Handbook: A Component of the Human Services Costing & Pricing Resource Package","2025","https://research-repository.uwa.edu.au/en/publications/costing-amp-pricing-modelling-handbook-a-component-of-the-human-s/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","editorial-third-sector-review-3","Editorial - Third Sector Review","2025","https://research-repository.uwa.edu.au/en/publications/editorial-third-sector-review-3/","","Third Sector Review","1323-9163","","C","3507","David Gilchrist","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-007","George Shan","Associate Professor","D","financial-strategic-alliance-and-corporate-risk-taking-evidence-f","Financial Strategic Alliance and Corporate Risk-Taking: Evidence From China","2025","https://research-repository.uwa.edu.au/en/publications/financial-strategic-alliance-and-corporate-risk-taking-evidence-f/","10.1111/acfi.70158","Accounting and Finance","0810-5391","","A","3501","Yuan George Shan","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-007","George Shan","Associate Professor","D","guest-editorial-carbon-emissions-trading-and-supply-chain-informa","Guest editorial: Carbon emissions trading and supply chain, information disclosure, and sustainability reporting assurance","2025","https://research-repository.uwa.edu.au/en/publications/guest-editorial-carbon-emissions-trading-and-supply-chain-informa/","10.1108/SAMPJ-09-2025-961","Sustainability Accounting, Management and Policy Journal","2040-8021","","A","3501","Yuan George Shan","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-004","David Gilchrist","Professor","E","human-services-costing-amp-pricing-resource-package-single-produc","Human Services Costing & Pricing Resource Package: Single Product Model","2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-single-produc/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","human-services-costing-amp-pricing-resource-package-training-vide","Human Services Costing & Pricing Resource Package: Training Video 1 - Introduction","2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-training-vide/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","human-services-costing-amp-pricing-resource-package-video-2-costi","Human Services Costing & Pricing Resource Package: Video 2 - Costing & Pricing Governance","2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-video-2-costi/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","human-services-costing-amp-pricing-resource-package-video-3-the-n","Human Services Costing & Pricing Resource Package: Video 3 - The Nature of Costing","2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-video-3-the-n/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
"uwa-accounting-004","David Gilchrist","Professor","E","human-services-costing-amp-pricing-resource-package-video-4-the-m","Human Services Costing & Pricing Resource Package: Video 4 - The MS Excel Costing Models","2025","https://research-repository.uwa.edu.au/en/publications/human-services-costing-amp-pricing-resource-package-video-4-the-m/","","","","","","","David Gilchrist","Pure profile URL","high","unmatched","unmatched"
