name,job_title,academic_level,field_of_research,profile_url,university,orcid,title,doi,author_count,year,article_url,source,citation_percentile,journal_name,issn,quality_rank,impact_factor
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Submission to the Victorian Governments Inquiry into enhancing Victorian university governance,,1,2026,https://hdl.handle.net/11343/370617,minerva,,,,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Why did the Big Four get so large? Evidence from Australia,10.1007/s11142-025-09871-x,3,2025,https://doi.org/10.1007/s11142-025-09871-x,minerva,,Review of accounting studies,1380-6653,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Annual benchmark and analysis research report on the reported financial performance and position of Australian Listed Companies,,4,2024,https://www.charteredaccountantsanz.com/-/media/ba5091773f2f4ee1ab8aa9bb352805a9.pdf,minerva,,,,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Australian small business-profitability and risk benchmarks,,4,2024,https://hdl.handle.net/11343/355824,minerva,,Australian small business-profitability and risk benchmarks,,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Insights into Key Audit Matters 31 December 2022 to 30 September 2023 reporting in Australia,,4,2024,https://www.charteredaccountantsanz.com/-/media/2af265a1124f4e308831ff30a688af80.pdf,minerva,,,,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Submission to the Australian Competition and Consumer Commission (ACCC) Supermarkets Inquiry 2024-25,,1,2024,https://hdl.handle.net/11343/344978,minerva,,Submission to the Australian Competition and Consumer Commission (ACCC) Supermarkets Inquiry 2024-25,,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,"Submission to Treasury inquiry into: Regulation of accounting, auditing and consulting firms in Australia",,1,2024,https://hdl.handle.net/11343/345261,minerva,,,,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Why is education at Australian universities so costly and how can the costs be decreased?,,1,2024,https://hdl.handle.net/11343/354366,minerva,,,,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Annual benchmark and analysis research report on the reported financial performance and position of Australian Listed Companies,,4,2023,https://hdl.handle.net/11343/345012,minerva,,Annual benchmark and analysis research report on the reported financial performance and position of Australian Listed Companies.,,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Australian Listed Entities: Recognised intangible assets and key audit matters,,6,2023,https://auasb.gov.au/media/nq5fw04n/aasb-auasb_rr_intangiblesbyasxentities_05-23.pdf,minerva,,AASB-AUASB Staff Research Report Australian Listed Entities: Recognised intangible assets and key audit matters,,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Indonesian Financial Reporting Benchmarks and Data-Driven Research Insights,,4,2023,https://web.iaiglobal.or.id/assets/files/file_berita/Indonesian%20financial%20reporting%20benchmarks.pdf,minerva,,,,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Who pays attention to sustainability reports and why? Evidence from Google search activity,10.1111/acfi.13045,3,2023,https://doi.org/10.1111/acfi.13045,minerva,,Accounting and Finance,0810-5391,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Frequency and nature of the reporting of going concern by auditors in the financial statements of Australian listed companies,,2,2022,https://hdl.handle.net/11343/345013,minerva,,Frequency and nature of the reporting of going concern by auditors in the financial statements of Australian listed companies,,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Superstar Productivity and Pay: Evidence from the Australian Football League,10.1111/1475-4932.12665,2,2022,https://doi.org/10.1111/1475-4932.12665,minerva,,Economic Record,0013-0249,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Enhancing the Interface between Standard-setters and Academic Research,10.1111/auar.12343,2,2021,https://doi.org/10.1111/auar.12343,minerva,,Australian Accounting Review,1035-6908,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,"Restatement of CSR Reports: Frequency, Magnitude, and Determinants*",10.1111/1911-3846.12666,4,2021,https://doi.org/10.1111/1911-3846.12666,minerva,,Contemporary Accounting Research,0823-9150,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Is Financial Reporting Still Useful? Australian Evidence,10.1111/abac.12152,4,2019,https://doi.org/10.1111/abac.12152,minerva,,Abacus,0001-3072,,
Matthew Pinnuck,,E,Accounting,https://findanexpert.unimelb.edu.au/profile/1798,UNIMELB,0000-0002-7743-5796,Keeping it private: financial reporting by large proprietary companies in Australia,10.1111/acfi.12436,4,2019,https://doi.org/10.1111/acfi.12436,minerva,,Accounting and Finance,0810-5391,,
