journal_name,journal,journal_canonical,publisher,issn,quality_rank,impact_factor,impact_factor_5yr,sjr,sjr_quartile,h_index,cites_per_doc_2y
Frontiers in Psychology,Frontiers in Psychology,Frontiers in Psychology,Frontiers Research Foundation,1664-1078,,3.8,4.2,0.941,Q1,241.0,3.94
Economic and Business Review,Economic and Business Review: for Central and South-Eastern Europe,Economic and Business Review,University of Ljubljana,1580-0466,C,,,0.164,Q3,3.0,1.24
Journal of Management and Governance,Journal of Management & Governance,Journal of Management & Governance,Springer New York LLC,1385-3457; 1572-963X,C,4.5,4.5,1.145,Q1,71.0,6.7
Journal of Business Economics and Management,Journal of Business Economics and Management,Journal of Business Economics and Management,Vilniaus Gedimino Technikos Universitetas * Leidykla Technika,1611-1699; 2029-4433,B,2.9,3.0,0.491,Q2,59.0,3.42
Bančni vestnik (The Banking Journal),Bančni vestnik (The Banking Journal),Bancni Vestnik,"Zdruzenje Bank Slovenije,Bank Association of Slovenia",0005-4631,,,,,,,
Revizor: revija o reviziji,Revizor: revija o reviziji,,,0353-7935,,,,,,,
International Journal of Human Resource Management,International Journal of Human Resource Management,The International Journal of Human Resource Management,Routledge,0958-5192; 1466-4399,A,4.7,7.2,2.058,Q1,158.0,7.07
Revizor: Revija o reviziji,Revizor: Revija o reviziji,,,0353-7935,,,,,,,
Gozdarski vestnik,Gozdarski vestnik,Gozdarski Vestnik,Zveza Gozdarskih Drustev Slovenije,0017-2723,,,,,,,
Management Control & Accounting,Management Control & Accounting,Management Control en Accounting,Vakmedianet,1386-3452,,,,,,,
Management Executive,Management Executive,Management Executive,Vakmedianet,1571-862X,,,,,,,
"Organizacija : revija za management, informatiko in kadre","Organizacija : revija za management, informatiko in kadre",Organizacija,"Univerza v Mariboru * Fakulteta za Organizacijske Vede,University of Maribor, School of Organizational Science",1318-5454,,1.3,1.8,0.339,Q3,24.0,1.82
Revue internationale de sociologie,Revue internationale de sociologie,International Review of Sociology,Routledge,0390-6701; 1469-9273,,1.6,2.1,0.541,Q2,39.0,2.25
Računovodstvo i financije,Računovodstvo i financije,Racunovodstvo i Financije,Hrvatska Zajednica Racunovoda i Financijskih Djelatnika,0350-4506,,,,,,,
Journal of International Business Studies,Journal of International Business Studies,Journal of International Business Studies,Palgrave Macmillan Ltd.,1478-6990; 0047-2506,A*,10.2,13.3,4.454,Q1,254.0,10.07
Asian Review of Accounting,Asian Review of Accounting,Asian Review of Accounting,Emerald Publishing Limited,1321-7348,,3.3,2.7,0.556,Q2,38.0,4.6
The Journal of Law and Economics,Journal of Law and Economics,The Journal of Law and Economics,University of Chicago Press,0022-2186; 1537-5285,A*,1.7,2.6,1.592,Q1,98.0,1.58
Business Ethics Quarterly,Business Ethics Quarterly,Business Ethics Quarterly,Cambridge University Press,1052-150X,A,4.3,4.7,1.834,Q1,103.0,5.02
International Journal of Management Accounting Research,International Journal of Management Accounting Research,,,2163-3843,,,,,,,
Business Strategy and the Environment,Business Strategy and the Environment,Business Strategy and the Environment,John Wiley & Sons Ltd.,0964-4733; 1099-0836,A,13.2,17.5,3.678,Q1,199.0,19.04
China Accounting and Finance Review,China Accounting and Finance Review,China Accounting and Finance Review,Emerald Publishing,2307-3055,A,,,,-,2.0,0.0
Journal of Applied Accounting Research,Journal of Applied Accounting Research,Journal of Applied Accounting Research,Emerald Publishing Limited,0967-5426,B,5.1,5.7,1.225,Q1,50.0,8.05
Academy of Management. Annual Meeting Proceedings,Academy of Management. Annual Meeting Proceedings,Academy of Management. Annual Meeting Proceedings,Academy of Management,0065-0668; 2151-6561,,,,0.182,-,27.0,0.22
Journal of Environmental Management,Journal of Environmental Management,Journal of Environmental Management,Elsevier BV,0301-4797,,9.2,9.2,1.923,Q1,296.0,10.3
"Sustainability Accounting, Management and Policy Journal","Sustainability Accounting, Management and Policy Journal","Sustainability Accounting, Management and Policy Journal",Emerald Publishing Limited,2040-8021; 2040-803X,A,8.8,9.0,1.808,Q1,68.0,12.14
Asia Pacific Journal of Management,Asia Pacific Journal of Management,Asia Pacific Journal of Management,Springer New York LLC,0217-4561; 1572-9958,A,9.7,7.5,1.297,Q1,105.0,6.27
Energy Economics,Energy Economics,Energy Economics,Elsevier BV,0140-9883; 1873-6181,A*,13.5,13.7,3.448,Q1,252.0,14.6
Applied Economics Letters,Applied Economics Letters,Applied Economics Letters,Routledge,1350-4851; 1466-4291,B,1.4,1.4,0.387,Q3,72.0,1.78
Journal of Intellectual Capital,Journal of Intellectual Capital,Journal of Intellectual Capital,Emerald Publishing Limited,1469-1930; 1758-7468,B,6.8,7.2,1.382,Q1,124.0,9.78
Academy of Management Proceedings,Academy of Management Proceedings,Academy of Management. Annual Meeting Proceedings,Academy of Management,0065-0668; 2151-6561,,,,0.182,-,27.0,0.22
Emerald Emerging Markets Case Studies,Emerald Emerging Markets Case Studies,,,2045-0621,,,,0.201,Q4,11.0,0.43
Social Responsibility Journal,Social Responsibility Journal,Social Responsibility Journal,Emerald Publishing Limited,1747-1117; 1758-857X,B,5.2,5.3,0.973,Q1,71.0,7.24
Measuring Business Excellence,Measuring Business Excellence,Measuring Business Excellence,Emerald Publishing Limited,1368-3047; 1758-8057,B,2.9,3.4,0.634,Q2,58.0,4.68
IFAC Proceedings Volumes,IFAC Proceedings Volumes,,,,,,,,,,
UQ eSpace,UQ eSpace,,,,,,,,,,
Elsevier eBooks,Elsevier eBooks,,Elsevier BV,,,,,,,,
25th Annual European Real Estate Society Conference,25th Annual European Real Estate Society Conference,,,,,,,,,,
La Trobe University,La Trobe University,,La Trobe University,,,,,,,,
National Bureau of Economic Research,National Bureau of Economic Research,,,,,,,,,,
Queensland's institutional digital repository (The University of Queensland),Queensland's institutional digital repository (The University of Queensland),,The University of Queensland,,,,,,,,
NRB Economic Review,NRB Economic Review,,,1608-6627,,,,,,,
Research in International Business and Finance,Research in International Business and Finance,,Elsevier BV,0275-5319; 1878-3384,A,7.6,7.0,1.509,Q1,99.0,9.31
Zenodo (CERN European Organization for Nuclear Research),Zenodo (CERN European Organization for Nuclear Research),,European Organization for Nuclear Research,,,,,,,,
International Journal of Banking and Finance,International Journal of Banking and Finance,,,1675-722X; 2590-423X; 2811-3799,,,,0.169,Q4,5.0,0.65
International Journal of Orthopaedics Sciences,International Journal of Orthopaedics Sciences,,Orthopaedic Surgeon And Practitioner's Society,2395-1958,,,,,,,
Scholars Journal of Applied Medical Sciences,Scholars Journal of Applied Medical Sciences,,,2320-6691; 2347-954X,,,,,,,
al-Mağallaẗ al-ʿarabiyyaẗ,al-Mağallaẗ al-ʿarabiyyaẗ,,,2308-5509; 3006-7790,,,,,,,
2022 IEEE Power &amp; Energy Society General Meeting (PESGM),2022 IEEE Power &amp; Energy Society General Meeting (PESGM),,,,,,,,,,
2021 IEEE Power &amp; Energy Society General Meeting (PESGM),2021 IEEE Power &amp; Energy Society General Meeting (PESGM),,,,,,,,,,
PubMed,PubMed,,National Institutes of Health,,,,,,,,
ANU Open Research (Australian National University),ANU Open Research (Australian National University),,Australian National University,,,,,,,,
Communications in computer and information science,Communications in computer and information science,,Springer Science+Business Media,1865-0929; 1865-0937,,,,0.181,Q4,82.0,0.64
Parallel Processing Letters,Parallel Processing Letters,,World Scientific,0129-6264; 1793-642X,,0.7,0.6,0.202,Q4,34.0,0.71
Electronics Letters,Electronics Letters,,Institution of Engineering and Technology,0013-5194; 1350-911X,,1.0,0.9,0.27,Q3,163.0,1.2
Accounting Forum,Accounting Forum,,Taylor & Francis,0155-9982; 1467-6303,A,4.1,4.3,1.087,Q1,70.0,5.81
RePEc: Research Papers in Economics,RePEc: Research Papers in Economics,,Federal Reserve Bank of St. Louis,,,,,,,,
Edward Elgar Publishing eBooks,Edward Elgar Publishing eBooks,,Edward Elgar Publishing,,,,,,,,
Child Care Health and Development,Child Care Health and Development,,Wiley,0305-1862; 1365-2214,,2.1,2.6,0.85,Q1,106.0,2.8
The Lancet,The Lancet,,Elsevier BV,0099-5355; 0140-6736; 1474-547X,,109.0,115.4,14.821,Q1,982.0,13.95
Advances in data mining and database management book series,Advances in data mining and database management book series,,IGI Global,2327-1981; 2327-199X,,,,,,,
Future Internet,Future Internet,,Multidisciplinary Digital Publishing Institute,1999-5903,,4.6,3.9,0.845,Q1,90.0,7.15
"Smart innovation, systems and technologies","Smart innovation, systems and technologies",,Springer Nature,2190-3018; 2190-3026,,,,0.157,Q4,42.0,0.47
International Journal of Applied Decision Sciences,International Journal of Applied Decision Sciences,,Inderscience Publishers,1755-8077; 1755-8085,,,,0.248,Q3,23.0,1.17
Digital Investigation,Digital Investigation,,Elsevier BV,1742-2876; 1873-202X,,,,,,,
World Journal of Psychiatry,World Journal of Psychiatry,,Baishideng Publishing Group,2220-3206,,3.0,4.2,,,,
BMJ Innovations,BMJ Innovations,,BMJ,2055-642X; 2055-8074,,1.6,1.7,0.365,Q3,31.0,1.69
International Journal of Human-Computer Interaction,International Journal of Human-Computer Interaction,,Taylor & Francis,1044-7318; 1532-7590,C,6.1,7.0,1.383,Q1,110.0,9.98
IGI Global eBooks,IGI Global eBooks,,IGI Global,,,,,,,,
Journal of Software,Journal of Software,,Academy Publisher,1796-217X,,,,,,,
Studies in computational intelligence,Studies in computational intelligence,,Springer Nature,1860-949X; 1860-9503,,,,0.184,Q4,100.0,1.19
International Journal of Computer Applications in Technology,International Journal of Computer Applications in Technology,,Inderscience Publishers,0952-8091; 1741-5047,,0.7,0.6,0.224,Q3,35.0,1.19
European Journal of Cancer Supplements,European Journal of Cancer Supplements,,Elsevier BV,1359-6349; 1878-1217,,,,,,,
transcript Verlag eBooks,transcript Verlag eBooks,,Transcript Verlag,,,,,,,,
NOVA (University of Newcastle Australia),NOVA (University of Newcastle Australia),,University of Newcastle Australia,,,,,,,,
Historische Lebenswelten in populären Wissenskulturen,Historische Lebenswelten in populären Wissenskulturen,,Transcript Verlag,2366-1267; 2702-9441,,,,,,,
IEEE Transactions on Parallel and Distributed Systems,IEEE Transactions on Parallel and Distributed Systems,,Institute of Electrical and Electronics Engineers,1045-9219; 1558-2183; 2161-9883,,5.9,6.3,1.866,Q1,174.0,6.76
IEEE Transactions on Networking,IEEE Transactions on Networking,,,2998-4157,,,,1.494,Q1,192.0,5.12
IEEE/ACM Transactions on Networking,IEEE/ACM Transactions on Networking,,Institute of Electrical and Electronics Engineers,1063-6692; 1558-2566,,5.3,4.8,,,,
arXiv (Cornell University),arXiv (Cornell University),,Cornell University,2331-8422,,,,,,,
Clinical Practice and Cases in Emergency Medicine,Clinical Practice and Cases in Emergency Medicine,,"eScholarship Publishing, University of California",2474-252X,,,,0.175,Q3,12.0,0.37
Tourism and Hospitality Management,Tourism and hospitality management,,Faculty of tourism and hospitality management,1330-7533; 1847-3377,C,2.3,2.0,0.386,Q2,27.0,2.59
Open MIND,Open MIND,,,,,,,,,,
International Letters of Social and Humanistic Sciences,International Letters of Social and Humanistic Sciences,,SciPress Ltd.,2300-2697,,,,,,,
International Journal of Learning and Development,International Journal of Learning and Development,,Macrothink Institute,2164-4063,,,,,,,
Oman Chapter of Arabian Journal of Business and Management Review,Oman Chapter of Arabian Journal of Business and Management Review,,,2223-5833,,,,,,,
International Journal of Family Business and Management,International Journal of Family Business and Management,,Symbiosis Group,2577-7815,,,,,,,
Nigerian Chapter of Arabian Journal of Business and Management Review,Nigerian Chapter of Arabian Journal of Business and Management Review,,TechKnowledge General Trading,2315-8638,,,,,,,
Nihon Keiei Gakkaishi,Nihon Keiei Gakkaishi,,University of Tehran,1882-0271,,,,,,,
Singaporean Journal of Business Economics and Management Studies,Singaporean Journal of Business Economics and Management Studies,,,2301-3621,,,,,,,
ANNALS OF SOCIAL SCIENCES AND PERSPECTIVE,ANNALS OF SOCIAL SCIENCES AND PERSPECTIVE,,,2707-7063; 2788-8797,,,,,,,
International Journal of Phytopathology,International Journal of Phytopathology,,Science Press,2312-9344; 2313-1241,,0.5,,0.208,Q3,8.0,0.85
Review of Economics and Development Studies,Review of Economics and Development Studies,,,2519-9692; 2519-9706,,,,,,,
Global Journal Of Emerging Sciences,Global Journal Of Emerging Sciences,,,2682-7662,,,,,,,
American Journal of Transplantation,American Journal of Transplantation,,Elsevier BV,1600-6135; 1600-6143,,8.1,6.4,3.01,Q1,238.0,5.36
The critical review of social sciences studies,The critical review of social sciences studies,,,3006-7162; 3006-7170,,,,,,,
Journal of Political Stability Archive,Journal of Political Stability Archive,,,3006-5860; 3006-5879,,,,,,,
