researcher_id,researcher_name,orcid,openalex_author_id,openalex_author_ids,openalex_display_name,openalex_works_count,openalex_cited_by_count,openalex_institutions,match_method,match_confidence,name_agreement,university_affiliation_observed,candidate_count,requires_review,review_reason,retrieved_at
unimelb-accounting-013,Mr Greg Cusack,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-014,Professor Michael Davern,0000-0002-9572-812X,A5046388347,A5046388347,Michael Davern,135,3385,"The University of Melbourne; University of Notre Dame; Northwestern University; University of Minnesota; Allina Health; Children’s Minnesota - St. Paul Hospital; United States Census Bureau; Tel Aviv University; Chicago Department of Public Health; Urban Institute; University of Minnesota System; University of Illinois Chicago; University of Chicago; Twin Cities Orthopedics; University of Minnesota, Duluth; AccessData (United States); National Opinion Research Center; Minneapolis Heart Institute Foundation; Minnesota Department of Health; National Institute on Minority Health and Health Disparities; Department of Public Health; Department of Health Services; College of Accounting; New York University; University of Pennsylvania; RMIT University; University of Oklahoma; Minnesota State Colleges and Universities System",exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-015,Dr Tongqing (Tony) Ding,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-016,Mr Matt Dyki,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-017,Dr Patrick Ferguson,0000-0003-2376-5463,A5008577121,A5008577121,Patrick J. Ferguson,17,486,The University of Melbourne; Harvard University; University of New Hampshire at Manchester; Ball State University; Harvard University Press; Innovation Research Center; College of Accounting; Lancaster University; Manchester University; University of South Carolina Lancaster,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-018,Professor Jennifer Grafton,0000-0003-3545-3870,A5002897815,A5002897815,Jennifer Grafton,24,609,The University of Melbourne; Victoria University; Decision Systems (United States),exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-019,Ms Lisa Greig,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-020,Ms Jane Hronsky,0000-0002-1987-7668,,,,,,,exact_orcid,none,false,false,0,true,ORCID returned no OpenAlex author,2026-08-29T03:05:16.957Z
unimelb-accounting-021,Associate Professor Chung-Yu Hung,0000-0003-0805-5260,A5010418326,A5010418326,Chung‐Yu Hung,23,131,The University of Melbourne; Tilburg University; UNSW Sydney; Bocconi University; Victoria University; Frankfurt School of Finance & Management; National Chengchi University; Universidad Pablo de Olavide,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-022,Dr Xue Jia,0000-0002-0843-9259,A5064614057,A5064614057,Xue Jia,7,21,The University of Melbourne; Victoria University,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-023,Associate Professor Like Jiang,0000-0003-1704-9751,A5091492510,A5091492510,Like Jiang,35,499,École Supérieure des Sciences Économiques et Commerciales; Hong Kong Polytechnic University; J-Power (Japan); The University of Melbourne; Shanghai Research Institute of Sports Science; Amcor (Australia); Victoria University,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-024,Professor Flora Kuang,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-025,Mr Warren Lee,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-026,Professor Stewart Leech,0000-0001-6956-1357,,,,,,,exact_orcid,none,false,false,0,true,ORCID returned no OpenAlex author,2026-08-29T03:05:16.957Z
unimelb-accounting-027,Professor Anne Lillis,0000-0002-3057-6428,A5036699592,A5036699592,Anne M. Lillis,49,2387,The University of Melbourne; École Supérieure des Sciences Économiques et Commerciales; Deakin University; European Institute for Advanced Studies in Management; Decision Systems (United States); University of Greenwich; Vrije Universiteit Amsterdam; University of Colorado Denver; Macquarie University,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-028,Ms Joana Linggo Liong,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-029,Dr Junhao Liu,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-030,Mr Derick Lyle,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-031,Dr Rebecca Mattocks,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-032,Mr Warren McKeown,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-033,Dr Tasneem Mohammed,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-034,Professor Vic Naiker,0000-0002-7069-8497,A5043038059,A5043038059,Vic Naiker,45,4610,The University of Melbourne; Victoria University; Seagate (United States); University of Waterloo; University of Auckland; Australian Regenerative Medicine Institute; APJ Abdul Kalam Technological University; European Accounting Association; Monash University,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-035,Dr Sujay Nair,0000-0002-1506-6921,A5101993639,A5101993639,Sujay Nair,11,43,The University of Melbourne; Victoria University,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-036,Professor Matthew Pinnuck,0000-0002-7743-5796,A5005219052,A5005219052,Matt Pinnuck,60,1528,The University of Melbourne; Smith Institute; UNSW Sydney; Australian Physiotherapy Association; College of Accounting; Victoria University,exact_orcid,high,false,true,1,false,Accepted by exact official ORCID plus university affiliation; display-name alias differs,2026-08-29T03:05:16.957Z
unimelb-accounting-037,Professor Brad Potter,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
