researcher_id,researcher_name,openalex_author_id,openalex_work_id,title,publication_year,publication_date,doi,article_url,journal_name,issn,eissn,all_issns,authors,author_count,publication_type,cited_by_count,fwci,citation_percentile,is_retracted,is_open_access,open_access_status,open_access_url,topics,updated_date,source_updated_date,record_origin,identity_match_method,identity_match_confidence,repository_verified,requires_review,review_reason,openalex_retrieved_at
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W3041389137,CFO social ties to non-CEO senior managers and financial restatements,2020,2020-07-29,10.1080/00014788.2020.1793719,https://doi.org/10.1080/00014788.2020.1793719,Accounting and Business Research,0001-4788,2159-4260,0001-4788; 2159-4260,[object Object]; [object Object]; [object Object]; [object Object],4,article,35,3.9611,0.93381393,false,false,closed,,"Corporate Finance and Governance; Corporate Social Responsibility Reporting; Auditing, Earnings Management, Governance",2026-08-19T15:00:24.278416,2026-08-19T15:00:24.278416,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W2984305684,Does government report readability matter? Evidence from market reactions to AAERs,2019,2019-11-18,10.1016/j.jaccpubpol.2019.106697,https://doi.org/10.1016/j.jaccpubpol.2019.106697,Journal of Accounting and Public Policy,0278-4254,1873-2070,0278-4254; 1873-2070,[object Object]; [object Object]; [object Object],3,article,23,2.9165,0.91399211,false,false,closed,,"Auditing, Earnings Management, Governance; Corporate Finance and Governance; Financial Markets and Investment Strategies",2026-08-28T12:50:07.497085,2026-08-28T12:50:07.497085,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W4214577390,Death is a law: Death of former colleagues and management forecasts,2022,2022-03-01,10.1016/j.aos.2022.101350,https://doi.org/10.1016/j.aos.2022.101350,Accounting Organizations and Society,0361-3682,1873-6289,0361-3682; 1873-6289,[object Object]; [object Object]; [object Object]; [object Object],4,article,15,2.6811,0.90193666,false,true,green,https://unsworks.unsw.edu.au/bitstreams/f2958cea-3759-4420-97fd-9346ee7ef969/download,Financial Markets and Investment Strategies; Experimental Behavioral Economics Studies; Market Dynamics and Volatility,2026-08-28T12:50:07.497085,2026-08-28T12:50:07.497085,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W4320733823,Economic Value Added in performance measurement: A simulation approach and empirical evidence,2023,2023-02-13,10.1111/acfi.13053,https://doi.org/10.1111/acfi.13053,Accounting and Finance,0810-5391,1467-629X,0810-5391; 1467-629X,[object Object]; [object Object]; [object Object],3,article,15,3.3718,0.920486,false,true,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/acfi.13053,Financial Reporting and Valuation Research; Accounting and Organizational Management; Capital Investment and Risk Analysis,2026-08-28T12:50:07.497085,2026-08-28T12:50:07.497085,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W4404067741,Urban Transportation Data Research Overview: A Bibliometric Analysis Based on CiteSpace,2024,2024-11-05,10.3390/su16229615,https://doi.org/10.3390/su16229615,Sustainability,2071-1050,,2071-1050,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],5,article,10,1.7098,0.8247624,false,true,gold,https://doi.org/10.3390/su16229615,Traffic Prediction and Management Techniques; Transportation Planning and Optimization; Transportation Systems and Logistics,2026-08-28T12:50:07.497085,2026-08-28T12:50:07.497085,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W2070730099,The influence of firm and executive characteristics on performance-vested stock option grants,2011,2011-11-16,10.1016/j.ibusrev.2011.10.004,https://doi.org/10.1016/j.ibusrev.2011.10.004,International Business Review,0969-5931,1873-6149,0969-5931; 1873-6149,[object Object],1,article,27,3.4846,0.93236743,false,true,green,https://research.rug.nl/en/publications/91d08bfb-97f1-4e33-96f1-9e173f31c2c0,Corporate Finance and Governance; Financial Markets and Investment Strategies; Financial Reporting and Valuation Research,2026-08-26T07:47:46.906454,2026-08-26T07:47:46.906454,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W4309914108,We are under attack: Terrorist attacks and director turnover,2022,2022-11-24,10.1016/j.bar.2022.101150,https://doi.org/10.1016/j.bar.2022.101150,The British Accounting Review,0890-8389,1095-8347,0890-8389; 1095-8347,[object Object]; [object Object]; [object Object],3,article,6,1.3839,0.83573966,false,false,closed,,Islamic Finance and Banking Studies; Corporate Finance and Governance; Risk Management in Financial Firms,2026-08-28T12:50:07.497085,2026-08-28T12:50:07.497085,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W4296127752,Firm Strategy and CEO−VP Pay Differentials in Equity Compensation,2022,2022-09-14,10.1080/09638180.2022.2119153,https://doi.org/10.1080/09638180.2022.2119153,European Accounting Review,0963-8180,1468-4497,0963-8180; 1468-4497,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],5,article,4,0.8261,0.75671702,false,false,closed,,"Corporate Finance and Governance; Auditing, Earnings Management, Governance; Experimental Behavioral Economics Studies",2026-08-15T07:11:24.734988,2026-08-15T07:11:24.734988,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W4403450850,"The Impact of the National Civilized City Program on the Environmental, Social and Governance Performance of Enterprises: Evidence from China",2024,2024-10-14,10.3390/su16208888,https://doi.org/10.3390/su16208888,Sustainability,2071-1050,,2071-1050,[object Object]; [object Object]; [object Object],3,article,3,0.9452,0.8104007,false,true,gold,https://www.mdpi.com/2071-1050/16/20/8888/pdf?version=1728903420,Environmental Sustainability in Business,2026-08-28T12:50:07.497085,2026-08-28T12:50:07.497085,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-038,Associate Professor Bo Qin,A5063126679,W4408541282,Skin in the game: Does outside directors’ equity-based compensation induce or mitigate stock price crash risk?,2025,2025-03-18,10.1016/j.jaccpubpol.2025.107308,https://doi.org/10.1016/j.jaccpubpol.2025.107308,Journal of Accounting and Public Policy,0278-4254,1873-2070,0278-4254; 1873-2070,[object Object]; [object Object]; [object Object]; [object Object],4,article,3,6.369,0.95474788,false,false,closed,,"Corporate Finance and Governance; Financial Markets and Investment Strategies; Auditing, Earnings Management, Governance",2026-08-21T09:56:20.448147,2026-08-21T09:56:20.448147,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
