issn,issn_online,title,for_code,quality_rank,abdc_edition
00022942,,Asian Economies,3801,C,2025
21803838,,Asian Journal of Accounting and Governance,3501,C,2025
24599700,24434175,Asian Journal of Accounting Research,3501,B,2025
16564383,25993879,Asian Journal of Agriculture and Development,3899,C,2025
19854064,21803137,Asian Journal of Business and Accounting,3501,C,2025
22106723,22106731,Asian Journal of Business Ethics,3507,C,2025
24634522,11788933,Asian Journal of Business Research,3506,C,2025
20442513,20442521,Asian Journal of International Law,4801,C,2025
09728201,09730621,Asian Journal of Management Cases,3501,C,2025
02186101,,Asian Journal of Marketing (SING),3506,C,2025
02185377,17507812,Asian Journal of Political Science,3599,B,2025
15684849,15685314,Asian Journal of Social Science,3599,C,2025
17441730,17441749,Asian Population Studies,3599,B,2025
,17588863,Asian Review of Accounting,3501,B,2025
00044687,1533838X,Asian Survey,3599,C,2025
08189935,14678411,Asian-Pacific Economic Literature,3801,C,2025
00048992,14678446,Asia‐Pacific Economic History Review,3801,B,2025
0812860X,14466678,ASOR Bulletin,3509,C,2025
14969572,,Asper Review of International Business and Trade Law,4801,C,2025
18638171,1863818X,AStA Advances in Statistical Analysis,4905,C,2025
05150361,17831350,ASTIN Bulletin,3502,A*,2025
1543866X,,ATA Journal of Legal Tax Research,4801,C,2025
01974254,15739678,Atlantic Economic Journal,3801,C,2025
00670510,,Auckland University Law Review,4801,C,2025
15835812,18448801,Audit Financiar,3501,C,2025
02780380,15587991,Auditing: A Journal of Practice and Theory,3501,A*,2025
18342000,18342019,Australasian Accounting Business and Finance Journal,3501,B,2025
14426951,,Australasian Agribusiness Review,3599,C,2025
14417847,14417847,Australasian Dispute Resolution Journal,4801,C,2025
1448448X,14484498,Australasian Journal of Economics Education,3801,C,2025
14498618,13262238,Australasian Journal of Information Systems,4609,A,2025
13205323,,Australasian Journal of Natural Resources Law and Policy,4801,B,2025
13240935,,Australasian Journal of Regional Studies,3599,B,2025
14406381,17416612,Australasian Journal on Ageing,3599,B,2025
14413582,18393349,Australasian Marketing Journal,3506,A,2025
10356908,18352561,Australian Accounting Review,3501,B,2025
00048658,18379273,Australian and New Zealand Journal of Criminology,4801,A,2025
13691473,1467842X,Australian and New Zealand Journal of Statistics,4905,A,2025
08148589,,Australian Bar Review,4801,A,2025
03101053,,Australian Business Law Review,4801,A,2025
13217844,,Australian Commodities,3801,C,2025
0004900X,14678454,Australian Economic Papers,3801,B,2025
14454068,,Australian GST Journal,4801,C,2025
10381635,,Australian Intellectual Property Journal,4801,B,2025
22032290,22035354,Australian Journal of Actuarial Practice (formerly Australian Actuarial Journal),3502,C,2025
14430738,,Australian Journal of Asian Law,4801,C,2025
10384162,22006974,Australian Journal of Career Development,3505,B,2025
18389260,,Australian Journal of Competition and Consumer Law (formerly Trade Practices Law Journal),4801,B,2025
10374124,,Australian Journal of Corporate Law,4801,A,2025
08140626,2049775X,Australian Journal of Environmental Education,3507,B,2025
1323238X,2573573X,Australian Journal of Human Rights,3599,B,2025
10357718,1465332X,Australian Journal of International Affairs,3599,A,2025
13281143,,Australian Journal of Labour Economics: a journal of labour economics and labour relations,3801,B,2025
10307222,,Australian Journal of Labour Law,4801,A,2025
03128962,13272020,Australian Journal of Management,3502,A,2025
10361146,1363030X,Australian Journal of Political Science,3599,A,2025
03136647,14678500,Australian Journal of Public Administration,3599,A,2025
00049611,,Australian Law Journal,4801,A,2025
10385959,,Australian Property Law Journal,4801,B,2025
00050067,17429544,Australian Psychologist,3507,B,2025
0812695X,,Australian Tax Forum,4801,A*,2025
22039481,,Australian Tax Law Bulletin,4801,C,2025
0311094X,,Australian Tax Review,4801,A,2025
10256954,16054709,Austrian Economic Quarterly,3899,C,2025
1406099X,23344385,Baltic Journal of Economics,3801,C,2025
17465265,17465273,Baltic Journal of Management,3507,B,2025
10197044,,Bank Parikrama: A Journal of Banking and Finance,3502,C,2025
08328722,,Banking and Finance Law Review,4801,B,2025
00055506,,Banking Law Journal,4801,C,2025
01973533,15324834,Basic and Applied Social Psychology,3507,B,2025
21946094,19320183,Basic Income Studies,3801,C,2025
19360975,19316690,Bayesian Analysis,4905,A,2025
10504753,15588009,Behavioral Research in Accounting,3501,A,2025
0144929X,13623001,Behaviour and Information Technology,4609,A,2025
14635771,17584094,Benchmarking: an international journal,3507,B,2025
15487067,,Berkeley Business Law Journal,4801,B,2025
10863818,,Berkeley Technology Law Journal,4801,A,2025
13507265,15739759,Bernoulli,4905,A,2025
03405370,,BFuP - Betriebswirtschaftliche Forschung und Praxis,3801,C,2025
22806180,22806172,Bio-based and Applied Economics Journal,3899,C,2025
13674803,14602059,Bioinformatics,4905,A,2025
03233847,15214036,Biometrical Journal,4905,B,2025
00063444,14643510,Biometrika,4905,A*,2025
14654644,14684357,Biostatistics,4905,A,2025
10334505,,Bond Law Review,4801,B,2025
22148450,22148469,Borsa Istanbul Review,3502,B,2025
00068047,,Boston University Law Review,4801,A*,2025
15164373,,Brazilian Electronic Journal of Economics,3801,C,2025
16768000,22369775,Brazilian Journal of Business Economics,3801,C,2025
01032003,18069479,Brazilian Journal of Rural Economy and Sociology,3899,C,2025
09687017,,Briefing Notes in Economics,3803,C,2025
08908389,10958347,British Accounting Review,3501,A*,2025
13573217,20440456,British Actuarial Journal,3502,B,2025
0007070X,17584108,British Food Journal,3506,B,2025
00071013,14678535,British Journal of Educational Technology,4609,A,2025
13580574,17597382,British Journal of Health Care Management,3507,C,2025
00071080,14678543,British Journal of Industrial Relations,3505,A*,2025
10453172,14678551,British Journal of Management,3507,A*,2025
00071102,20448317,British Journal of Mathematical and Statistical Psychology,4905,B,2025
00071234,14692112,British Journal of Political Science,3599,A*,2025
01446665,20448309,British Journal of Social Psychology,3507,A,2025
00071315,14684446,British Journal of Sociology,3507,A,2025
00071870,,British Tax Review,4801,A*,2025
00072303,15334465,Brookings Papers on Economic Activity,3801,A,2025
00080195,,Brussels Economic Review,3801,C,2025
09613218,14664321,Building Research and Information,3599,A,2025
2044124X,20441258,Built Environment Project and Asset Management,3599,B,2025
18195490,23529202,Bulletin for International Taxation,4801,B,2025
20563728,20563736,Bulletin of Applied Economics,3801,C,2025
07703724,,Bulletin of Comparative Labour Relations,3505,C,2025
03073378,14678586,Bulletin of Economic Research,3801,B,2025
00074918,14727234,Bulletin of Indonesian Economic Studies,3801,B,2025
14108046,24609196,Bulletin of Monetary Economics and Banking,3502,C,2025
1212074X,,Bulletin of the Czech Econometric Society,3802,C,2025
23637005,18670202,Business & Information Systems Engineering,4609,A,2025
0973211X,27546721,Business Analyst Journal,3502,C,2025
13092448,,Business and Economics Research Journal,3801,C,2025
20570198,20570201,Business and Human Rights Journal,4801,B,2025
13695258,14693569,Business and Politics,3899,C,2025
23294906,23294922,Business and Professional Communication Quarterly,3507,C,2025
02772027,21537828,Business and Professional Ethics Journal,3507,C,2025
00076503,15524205,Business and Society,3507,A,2025
00453609,14678594,Business and Society Review,3507,C,2025
19378459,,Business Case Journal,3599,C,2025
0007666X,1554432X,Business Economics,3801,B,2025
25206761,25206311,Business Ethics and Leadership,3507,C,2025
1052150X,21533326,Business Ethics Quarterly,3507,A,2025
09628770,14678608,"Business Ethics, the Environment & Responsibility",3507,B,2025
00076791,17437938,Business History,3505,A*,2025
00076805,2044768X,Business History Review,3505,A,2025
00076813,18736068,Business Horizons,3507,B,2025
15337421,,Business Law Review,4801,C,2025
10599436,,Business Law Today,4801,C,2025
23949937,22785337,Business Perspectives and Research,3507,C,2025
14637154,17584116,Business Process Management Journal,4609,B,2025
23409436,,Business Research Quarterly,3507,B,2025
09644733,10990836,Business Strategy and the Environment,3507,A,2025
09556419,14678616,Business Strategy Review,3507,B,2025
16782127,,Cadernos de Pos-Graduacao em Direito Politico e Economico,3801,C,2025
00081256,21628564,California Management Review,3507,A,2025
0309166X,14643545,Cambridge Journal of Economics,3801,A,2025
17521378,17521386,"Cambridge Journal of Regions, Economy and Society",3801,B,2025
00081973,14692139,Cambridge Law Journal,4801,A*,2025
00083003,,Canadian Bar Review,4801,B,2025
03193322,,Canadian Business Law Journal,4801,A,2025
08250383,19364490,Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l Administration,3507,B,2025
00083976,17447976,Canadian Journal of Agricultural Economics / Revue Canadienne d Agroeconomie,3801,A,2025
02255189,21589100,Canadian Journal of Development Studies / Revue canadienne d'etudes du developpement,3801,B,2025
00084085,15405982,Canadian Journal of Economics / Revue Canadienne D'Economique,3801,A,2025
08294836,,Canadian Journal of Marketing Research,3506,C,2025
