"item_uuid","handle","item_url","title","authors","melbourne_authors","internal_author_ids","issued_date","publication_year","article_url","available_date","item_type","doi","issn","eissn","journal","volume","issue","pages","publisher","departments","faculties","citation_text","license","open_access_status","open_access_url","last_modified"
"706f5634-9db7-5bb3-b1d7-c0d094e155b1","11343/286823","https://hdl.handle.net/11343/286823","Keeping it private: financial reporting by large proprietary companies in Australia","Potter, B; Pinnuck, M; Tanewski, G; Wright, S","Pinnuck, Matthew; Potter, Bradley","Pinnuck, Matthew; 94; 0000-0002-7743-5796; Potter, Bradley; 802; 0000-0001-6593-7871","2019-03-01","2019","https://doi.org/10.1111/acfi.12436","2021-10-07T01:30:06Z","Journal Article","10.1111/acfi.12436","0810-5391","1467-629X","Accounting and Finance","59","1","87-113","WILEY","Accounting","Business and Economics","Potter, B., Pinnuck, M., Tanewski, G. & Wright, S. (2019). Keeping it private: financial reporting by large proprietary companies in Australia. ACCOUNTING AND FINANCE, 59 (1), pp.87-113. https://doi.org/10.1111/acfi.12436.","","","","2026-06-29T04:06:13.836+00:00"
"5df4b7e7-b11e-5525-998b-1d9b94ae2d1f","11343/286817","https://hdl.handle.net/11343/286817","Accounting Standards Harmonization and Financial Integration","Li, Y; Dhaliwal, D; He, W; Pereira, R","Li, Yan","Li, Yan; 119144; 0000-0002-7274-2631","2019","2019","https://doi.org/10.1111/1911-3846.12495","2021-10-07T01:28:59Z","Journal Article","10.1111/1911-3846.12495","0823-9150","1911-3846","Contemporary Accounting Research","36","4","2437-2466","Canadian Academic Accounting Association","Accounting","Business and Economics","Li, Y., Dhaliwal, D., He, W. & Pereira, R. (2019). Accounting Standards Harmonization and Financial Integration. Contemporary Accounting Research, 36 (4), pp.2437-2466. https://doi.org/10.1111/1911-3846.12495.","","","","2026-07-15T11:24:36.873+00:00"
"1537a117-5464-5f5f-8fc9-ba718b642ef2","11343/286803","https://hdl.handle.net/11343/286803","The Relation between Strategy, CEO Selection, and Firm Performance","Kuang, Y; Abernethy, MA; Qin, B","Kuang, Yu; Abernethy, Margaret; Qin, Bo","Kuang, Yu; 115163; 0000-0001-5095-4118; Abernethy, Margaret; 4757; 0000-0002-1244-7593; Qin, Bo; 115157; 0000-0001-5817-1169","2019","2019","https://doi.org/10.1111/1911-3846.12463","2021-10-07T01:26:24Z","Journal Article","10.1111/1911-3846.12463","0823-9150","1911-3846","Contemporary Accounting Research","36","3","1575-1606","Canadian Academic Accounting Association","Accounting","Business and Economics","Kuang, Y., Abernethy, M. A. & Qin, B. (2019). The Relation between Strategy, CEO Selection, and Firm Performance. Contemporary Accounting Research, 36 (3), pp.1575-1606. https://doi.org/10.1111/1911-3846.12463.","","","","2026-07-15T19:01:51.700+00:00"
"9bd543df-a672-514d-8d80-c2e60e997993","11343/284277","https://hdl.handle.net/11343/284277","Explanations as Discourse: Towards Ethical Big Data Analytics Services","Afrashteh, S; Someh, I; Davern, M","Davern, Michael; Asadi Someh, Ida; Afrashteh, Sadaf","Davern, Michael; 4743; 0000-0002-9572-812X; Asadi Someh, Ida; 80907; 0000-0002-6464-795X; Afrashteh, Sadaf; 137618; 0000-0002-0045-6089","2020-01-01","2020","https://doi.org/10.3127/AJIS.V24I0.2519","2021-09-23T02:39:45Z","Journal Article","10.3127/AJIS.V24I0.2519","1449-8618","1326-2238","Australasian Journal of Information Systems","24","","","Australasian Association for Information Systems and Australian Computer Society","Accounting; Computing and Information Systems","Business and Economics; Engineering and Information Technology","Afrashteh, S., Someh, I. & Davern, M. (2020). Explanations as Discourse: Towards Ethical Big Data Analytics Services. Australasian Journal of Information Systems, 24, https://doi.org/10.3127/AJIS.V24I0.2519.","","Published version","https://journal.acs.org.au/index.php/ajis/article/view/2519","2026-07-02T10:32:09.315+00:00"
"f1cedd03-fe02-5a9f-98c6-32e74b34e582","11343/283871","https://hdl.handle.net/11343/283871","The Tone from Above: The Effect of Communicating a Supportive Regulatory Strategy on Reporting Quality","Van Duin, SR; Dekker, HC; Wielhouwer, JL; Mendoza, JP","Dekker, Henri","Dekker, Henri; 9881","2018-05-01","2018","https://doi.org/10.1111/1475-679X.12205","2021-09-21T02:22:24Z","Journal Article","10.1111/1475-679X.12205","0021-8456","1475-679X","Journal of Accounting Research","56","2","467-519","Wiley","Accounting","Business and Economics","Van Duin, S. R., Dekker, H. C., Wielhouwer, J. L. & Mendoza, J. P. (2018). The Tone from Above: The Effect of Communicating a Supportive Regulatory Strategy on Reporting Quality. Journal of Accounting Research, 56 (2), pp.467-519. https://doi.org/10.1111/1475-679X.12205.","","","","2026-07-17T11:57:35.246+00:00"
"11ede8ae-2d9c-585f-915c-69061ac448dd","11343/283433","https://hdl.handle.net/11343/283433","Shareholder Litigation and Corporate Disclosure: Evidence from Derivative Lawsuits","Wang, R; Lou, Y; Bourveau, T","Wang, Rencheng","Wang, Rencheng; 131959; 0000-0001-9784-2770","2018-06-01","2018","https://doi.org/10.1111/1475-679X.12191","2021-09-17T00:37:15Z","Journal Article","10.1111/1475-679X.12191","0021-8456","1475-679X","Journal of Accounting Research","56","3","797-842","Wiley","Accounting","Business and Economics","Wang, R., Lou, Y. & Bourveau, T. (2018). Shareholder Litigation and Corporate Disclosure: Evidence from Derivative Lawsuits. Journal of Accounting Research, 56 (3), pp.797-842. https://doi.org/10.1111/1475-679X.12191.","","","","2026-07-16T03:28:54.446+00:00"
"6cd8c325-fed4-51ec-a9e0-aa8ad54012de","11343/283136","https://hdl.handle.net/11343/283136","Do Non-socially Responsible Companies Achieve Legitimacy Through Socially Responsible Actions? The Mediating Effect of Innovation","Blanco, B; Guillamón-Saorín, E; Guiral, A","BLANCO, BELEN","BLANCO, BELEN; 24339","2013-09","2013","https://doi.org/10.1007/s10551-012-1503-3","2021-09-09T23:21:20Z","Journal Article","10.1007/s10551-012-1503-3","0167-4544","1573-0697","Journal of Business Ethics","117","1","67-83","Springer Science and Business Media LLC","Accounting","Business and Economics","Blanco, B., Guillamón-Saorín, E. & Guiral, A. (2013). Do Non-socially Responsible Companies Achieve Legitimacy Through Socially Responsible Actions? The Mediating Effect of Innovation. Journal of Business Ethics, 117 (1), pp.67-83. https://doi.org/10.1007/s10551-012-1503-3.","","","","2026-07-17T14:07:18.397+00:00"
"92423085-d793-531d-8e58-e172ee208125","11343/281910","https://hdl.handle.net/11343/281910","Asbestos Contamination: Governance and Financial Reporting Issues in the Public, Private and Not-for-profit Sectors","McGregor, W; Potter, B; Soderstrom, N; Stevenson, K","Potter, Bradley; McGregor, Warren; Soderstrom, Naomi; Stevenson, Kevin","Potter, Bradley; 802; 0000-0001-6593-7871; McGregor, Warren; 147429; 0000-0002-0663-1431; Soderstrom, Naomi; 5569; 0000-0001-7602-9182; Stevenson, Kevin; 16548; 0000-0001-8264-2098","2021-12-01","2021","https://doi.org/10.1111/auar.12350","2021-08-31T04:54:19Z","Journal Article","10.1111/auar.12350","1035-6908","1835-2561","Australian Accounting Review","31","4","307-320","WILEY","Accounting","Business and Economics","McGregor, W., Potter, B., Soderstrom, N. & Stevenson, K. (2021). Asbestos Contamination: Governance and Financial Reporting Issues in the Public, Private and Not-for-profit Sectors. Australian Accounting Review, 31 (4), pp.307-320. https://doi.org/10.1111/auar.12350.","","","","2026-07-16T02:37:15.737+00:00"
"de4c9457-f179-5fe2-beb5-63ef24e4016f","11343/281761","https://hdl.handle.net/11343/281761","Less Information, More Comparison, and Better Performance: Evidence from a Field Experiment","Eyring, H; Ferguson, PJ; Koppers, S","Ferguson, Patrick","Ferguson, Patrick; 59488; 0000-0003-2376-5463","2021-05-01","2021","https://doi.org/10.1111/1475-679X.12362","2021-08-24T00:08:47Z","Journal Article","10.1111/1475-679X.12362","0021-8456","1475-679X","Journal of Accounting Research","59","2","657-711","WILEY","Accounting","Business and Economics","Eyring, H., Ferguson, P. J. & Koppers, S. (2021). Less Information, More Comparison, and Better Performance: Evidence from a Field Experiment. Journal of Accounting Research, 59 (2), pp.657-711. https://doi.org/10.1111/1475-679X.12362.","","Published version","https://doi.org/10.1111/1475-679x.12362","2026-07-09T11:41:58.051+00:00"
"92a65f28-fa9e-5d11-a706-4324ea92c569","11343/281551","https://hdl.handle.net/11343/281551","The Role of Subjectivity in Mitigating Incentive Contracting Risks","Lillis, AM; Malina, MA; Mundy, J","Lillis, Anne","Lillis, Anne; 590; 0000-0002-3057-6428","2022-01-01","2022","https://doi.org/10.2308/TAR-2017-0652","2021-08-23T23:50:44Z","Journal Article","10.2308/TAR-2017-0652","0001-4826","1558-7967","Accounting Review","97","1","365-388","AMER ACCOUNTING ASSOC","Accounting","Business and Economics","Lillis, A. M., Malina, M. A. & Mundy, J. (2022). The Role of Subjectivity in Mitigating Incentive Contracting Risks. Accounting Review, 97 (1), pp.365-388. https://doi.org/10.2308/TAR-2017-0652.","","Accepted version","http://gala.gre.ac.uk/id/eprint/32239/19/32239%20MUNDY_The_Role_of_Subjectivity_%28AAM%29_2021.pdf","2026-07-01T16:34:05.739+00:00"
"f4ae0e04-a5f7-5f7b-9cdf-344e9b152e91","11343/281361","https://hdl.handle.net/11343/281361","The Prospects for Tobacco Plain Packaging in Asia: No Longer Smoke up in the Air?","Herman, S; Teo, E-J","Teo, Eu-Jin","Teo, Eu-Jin; 942; 0000-0002-7196-5462","2021","2021","https://doi.org/10.4236/blr.2021.121004","2021-08-20T05:16:28Z","Journal Article","10.4236/blr.2021.121004","2159-4627","2159-4635","Beijing Law Review","12","01","45-59","Scientific Research Publishing, Inc.","Accounting","Business and Economics","Herman, S. & Teo, E. -J. (2021). The Prospects for Tobacco Plain Packaging in Asia: No Longer Smoke up in the Air?. Beijing Law Review, 12 (01), pp.45-59. https://doi.org/10.4236/blr.2021.121004.","CC BY","","","2026-07-17T03:12:21.435+00:00"
"c5ce9f54-0031-4262-a905-8a60fbd84e48","11343/302982","https://hdl.handle.net/11343/302982","Non-Answers During Conference Calls","Gow, ID; Larcker, DF; Zakolyukina, AA","Gow, Ian","Gow, Ian; 131996; 0000-0002-6243-8409","2021-09-01","2021","https://doi.org/10.1111/1475-679X.12371","2021-06-23T02:02:06Z","Journal Article","10.1111/1475-679X.12371","0021-8456","1475-679X","Journal of Accounting Research","59","4","1349-1384","WILEY","Accounting","Business & Economics","Gow, I. D., Larcker, D. F. & Zakolyukina, A. A. (2021). Non-Answers During Conference Calls. Journal of Accounting Research, 59 (4), pp.1349-1384. https://doi.org/10.1111/1475-679X.12371.","","","","2026-07-01T05:51:49.022+00:00"
"4647bffc-2363-42b1-ba56-70348da1d5c3","11343/302981","https://hdl.handle.net/11343/302981","Enhancing the Interface between Standard-setters and Academic Research","Pinnuck, M; Stevenson, K","Stevenson, Kevin; Pinnuck, Matthew","Stevenson, Kevin; 16548; 0000-0001-8264-2098; Pinnuck, Matthew; 94; 0000-0002-7743-5796","2021-09-01","2021","https://doi.org/10.1111/auar.12343","2021-06-20T02:02:06Z","Journal Article","10.1111/auar.12343","1035-6908","1835-2561","Australian Accounting Review","31","3","169-185","WILEY","Accounting","Business & Economics","Pinnuck, M. & Stevenson, K. (2021). Enhancing the Interface between Standard-setters and Academic Research. Australian Accounting Review, 31 (3), pp.169-185. https://doi.org/10.1111/auar.12343.","","","","2026-06-28T00:22:21.011+00:00"
"20edaef3-ecd1-54aa-9517-a64fead6c573","11343/274375","https://hdl.handle.net/11343/274375","Gambling preferences and stock price crash risk: Evidence from China","Ji, Q; Quan, X; Yin, H; Yuan, Q","Yuan, Qingbo","Yuan, Qingbo; 1556; 0000-0003-4660-4283","2021-07-01","2021","https://doi.org/10.1016/j.jbankfin.2021.106158","2021-05-15T04:15:26Z","Journal Article","10.1016/j.jbankfin.2021.106158","0378-4266","1872-6372","Journal of Banking & Finance","128","","106158-106158","Elsevier","Accounting","Business and Economics","Ji, Q., Quan, X., Yin, H. & Yuan, Q. (2021). Gambling preferences and stock price crash risk: Evidence from China. Journal of Banking and Finance, 128, https://doi.org/10.1016/j.jbankfin.2021.106158.","","CC BY-NC-ND","","2026-07-15T23:14:09.167+00:00"
"2a066348-1560-575d-ab97-59be5ac12c51","11343/273715","https://hdl.handle.net/11343/273715","Disclosing Unrecognized Intangibles: The Search for Exemplars","Davern, M; Tan, B; Gu, J","Davern, Michael; Tan, Bryan","Davern, Michael; 4743; 0000-0002-9572-812X; Tan, Bryan; 154830","2021","2021","https://hdl.handle.net/11343/273715","2021-05-10T23:38:58Z","Report","","","","","","","","University of Melbourne","Accounting","Business and Economics","Davern, M., Tan, B. & Gu, J. (2021). Disclosing Unrecognized Intangibles: The Search for Exemplars. University of Melbourne.","","","","2026-07-20T02:05:04.874+00:00"
"68114f52-345a-567f-afeb-a3116c4a36e2","11343/273624","https://hdl.handle.net/11343/273624","When one size does not fit all: Using ex post subjective ratings to provide parity in risk-adjusted compensation","Anderson, SW; Dekker, HC; Sedatole, KL; Wiersma, E","Dekker, Henri","Dekker, Henri; 9881","2020-12-01","2020","https://doi.org/10.1016/j.mar.2020.100706","2021-05-10T00:56:59Z","Journal Article","10.1016/j.mar.2020.100706","1044-5005","","Management Accounting Research","49","","1-12","Elsevier","Accounting","Business and Economics","Anderson, S. W., Dekker, H. C., Sedatole, K. L. & Wiersma, E. (2020). When one size does not fit all: Using ex post subjective ratings to provide parity in risk-adjusted compensation. Management Accounting Research, 49, pp.1-12. https://doi.org/10.1016/j.mar.2020.100706.","","Published version","https://research.vu.nl/ws/files/126156294/Anderson2020_When_one_size_does_not_fit_all.pdf","2026-07-01T07:07:25.092+00:00"
"743d04c7-e44a-5d09-9088-7625cf1162c4","11343/273579","https://hdl.handle.net/11343/273579","The Influence of Performance Measurement on the Processual Dynamics of Strategic Change","Abernethy, M; Dekker, H; Grafton, J","Grafton, Jennifer; Abernethy, Margaret; Dekker, Henri","Grafton, Jennifer; 8626; 0000-0003-3545-3870; Abernethy, Margaret; 4757; 0000-0002-1244-7593; Dekker, Henri; 9881","2021-01-01","2021","https://doi.org/10.1287/mnsc.2019.3442","2021-05-10T00:51:18Z","Journal Article","10.1287/mnsc.2019.3442","0025-1909","1526-5501","Management science","67","1","640-659","INFORMS","Accounting","Business and Economics","Abernethy, M., Dekker, H. & Grafton, J. (2021). The Influence of Performance Measurement on the Processual Dynamics of Strategic Change. Management Science, 67 (1), pp.640-659. https://doi.org/10.1287/mnsc.2019.3442.","","Published version","https://research.vu.nl/ws/files/122072777/mnsc.2019.3442_The_Influence_of_Performance_Measurement_on_the_Processual_Dynamics_of_Strategic_Change.pdf","2026-07-07T15:42:07.347+00:00"
"1c6822fb-46e3-5ba8-bd96-a5d1bbe1c6fc","11343/273427","https://hdl.handle.net/11343/273427","Greater Reliance on Major Customers and Auditor Going Concern Opinions","Dhaliwal, D; Michas, P; Naiker, V; Sharma, D","Naiker, Vic","Naiker, Vic; 132071; 0000-0002-7069-8497","2020","2020","https://doi.org/10.1111/1911-3846.12551","2021-05-10T00:34:43Z","Journal Article","10.1111/1911-3846.12551","0823-9150","1911-3846","Contemporary Accounting Research","37","1","160-188","Canadian Academic Accounting Association","Accounting","Business and Economics","Dhaliwal, D., Michas, P., Naiker, V. & Sharma, D. (2020). Greater Reliance on Major Customers and Auditor Going Concern Opinions. Contemporary Accounting Research, 37 (1), pp.160-188. https://doi.org/10.1111/1911-3846.12551.","","Accepted version","https://repository.arizona.edu/bitstream/10150/641096/1/Dhaliwal_Michas_Naiker_Sharma_%28Forthcoming%29.pdf","2026-07-07T03:57:32.186+00:00"
"01c8b857-9e24-5ed3-b5d8-6f22007df39e","11343/273424","https://hdl.handle.net/11343/273424","Earnings Management in Domestic and Foreign IPOs in the United States: Do Home Country Institutions Matter?","Filatotchev, I; Jona, J; Livne, G","Jona, Jonathan","Jona, Jonathan; 49843; 0000-0003-4417-868X","2020","2020","https://doi.org/10.1080/09638180.2019.1620113","2021-05-10T00:34:23Z","Journal Article","10.1080/09638180.2019.1620113","0963-8180","1468-4497","European Accounting Review","29","2","307-335","Taylor & Francis (Routledge)","Accounting","Business and Economics","Filatotchev, I., Jona, J. & Livne, G. (2020). Earnings Management in Domestic and Foreign IPOs in the United States: Do Home Country Institutions Matter?. The European Accounting Review, 29 (2), pp.307-335. https://doi.org/10.1080/09638180.2019.1620113.","","Accepted version","https://ore.exeter.ac.uk/repository/bitstream/10871/37391/1/JLF%20Foreign%20IPO%2019%20April.pdf","2026-07-07T09:47:19.100+00:00"
"1b348099-a647-4178-8903-31b802b52b13","11343/302958","https://hdl.handle.net/11343/302958","Restatement of CSR Reports: Frequency, Magnitude, and Determinants*","Pinnuck, M; Ranasinghe, A; Soderstrom, N; Zhou, J","Pinnuck, Matthew; Soderstrom, Naomi","Pinnuck, Matthew; 94; 0000-0002-7743-5796; Soderstrom, Naomi; 5569; 0000-0001-7602-9182","2021-09-01","2021","https://doi.org/10.1111/1911-3846.12666","2021-04-27T02:02:06Z","Journal Article","10.1111/1911-3846.12666","0823-9150","1911-3846","Contemporary Accounting Research","38","3","2376-2416","WILEY","Accounting","Business & Economics","Pinnuck, M., Ranasinghe, A., Soderstrom, N. & Zhou, J. (2021). Restatement of CSR Reports: Frequency, Magnitude, and Determinants*. Contemporary Accounting Research, 38 (3), pp.2376-2416. https://doi.org/10.1111/1911-3846.12666.","","","","2026-06-26T23:48:24.718+00:00"
"d896f6be-4ef9-4bd3-af74-ecb4db2becc2","11343/302920","https://hdl.handle.net/11343/302920","Editorial: Assurance beyond the annual report","Bradbury, ME; Lee, G; Scott, T","Lee, Gladys","Lee, Gladys; 111269; 0000-0002-6797-0875","2021-03-01","2021","https://doi.org/10.1111/ijau.12220","2021-02-02T02:02:06Z","Journal Article","10.1111/ijau.12220","1090-6738","1099-1123","International Journal of Auditing","25","1","1-2","WILEY","Accounting","Business & Economics","Bradbury, M. E., Lee, G. & Scott, T. (2021). Editorial: Assurance beyond the annual report. International Journal of Auditing, 25 (1), pp.1-2. https://doi.org/10.1111/ijau.12220.","","","","2026-06-27T15:57:46.234+00:00"
"6e09a8ba-7cfc-576b-89a4-bf76f576ebaa","11343/258763","https://hdl.handle.net/11343/258763","Manager ‘Growth Mindset’ and Resource Management Practices","Abernethy, M; Anderson, SW; Nair, S; Jiang, Y","Nair, Sujay; Abernethy, Margaret; Anderson, Shannon; Jiang, Yile","Nair, Sujay; 1904; 0000-0002-1506-6921; Abernethy, Margaret; 4757; 0000-0002-1244-7593; Anderson, Shannon; 15989; Jiang, Yile; 160344; 0000-0002-1119-6980","2021","2021","https://doi.org/10.1016/j.aos.2020.101200","2021-01-20T21:59:16Z","Journal Article","10.1016/j.aos.2020.101200","0361-3682","1873-6289","Accounting, Organizations and Society","91","","101200-101200","Elsevier","Accounting","","Abernethy, M., Anderson, S. W., Nair, S. & Jiang, Y. (2021). Manager ‘Growth Mindset’ and Resource Management Practices. Accounting, Organizations and Society, 91, https://doi.org/10.1016/j.aos.2020.101200.","","","","2026-07-01T15:27:56.586+00:00"
