"researcher_id","researcher_name","academic_title","academic_level","publication_id","publication_title","publication_year","article_url","doi","journal","issn","eissn","abdc_rating","abdc_for","author_name_from_repository","researcher_match_method","researcher_match_confidence","abdc_match_method","abdc_match_status"
"unimelb-accounting-003","Professor Gary Biddle","Professor","E","1a234f09-b767-4950-be95-c92989a77d50","Clawback adoptions, managerial compensation incentives, capital investment mix and efficiency","2024","https://doi.org/10.1016/j.jcorpfin.2023.102506","10.1016/j.jcorpfin.2023.102506","Journal of Corporate Finance","0929-1199","1872-6313","A*","3502","Biddle, Gary","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-026","Professor Stewart Leech","Professor","E","895e9e1a-b1c0-4358-b58f-3a79bbc88deb","Can knowledge based systems be designed to counteract deskilling effects?","2023","https://doi.org/10.1016/j.accinf.2023.100638","10.1016/j.accinf.2023.100638","International Journal of Accounting Information Systems","1467-0895","","A","3501","Leech, Stewart","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-041","Ms Maggie Singorahardjo","Ms","","8dd118b1-210c-442b-bddb-faf4b50cba40","The ChatGPT Artificial Intelligence Chatbot: How Well Does It Answer Accounting Assessment Questions?","2023","https://doi.org/10.2308/issues-2023-013","10.2308/issues-2023-013","Issues in Accounting Education","0739-3172","1558-7983","A","3501","Singorahardjo, Maggie","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-040","Associate Professor Stefan Schantl","Associate Professor","D","53321c97-a739-4506-90fb-b4257c57bb7c","Economic effects of litigation risk on corporate disclosure and innovation","2024","https://doi.org/10.1007/s11142-023-09778-5","10.1007/s11142-023-09778-5","Review of accounting studies","1380-6653","1573-7136","A*","3501","Schantl, Stefan","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-014","Professor Michael Davern","Professor","E","f6d9b8e8-f139-4a63-9b75-e3774687c0a4","Auditors’ Perspectives: The Impacts of IFRS Practice Statement 2 Making Materiality Judgements","2023","https://www.aasb.gov.au/media/eebikppl/rr21_auditorsperspectivesps2_10-23.pdf","","","","","","","Davern, Michael","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-050","Dr Qingbo Yuan","Senior Lecturer","C","10c75e7e-100c-49a8-a90c-a4f5bbed4d3c","Upgrading the genome of an elite japonica rice variety Kongyu 131 for lodging resistance improvement","2023","https://doi.org/10.1111/pbi.13963","10.1111/pbi.13963","Plant Biotechnology Journal","1467-7644","1467-7652","","","Yuan, Qingbo","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-042","Professor Naomi Soderstrom","Professor","E","42a99aa8-3cb2-4b28-8743-0cb0dff8d895","Professional financial statement users’ perceived value of carbon accounting disclosures and decision context","2023","https://doi.org/10.1108/MEDAR-02-2021-1193","10.1108/MEDAR-02-2021-1193","Meditari:Accountancy Research","2049-372X","2049-3738","A","3501","Soderstrom, Naomi","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-003","Professor Gary Biddle","Professor","E","f87e6734-c229-40a8-9252-5402b7599d82","Does a liability of foreignness in liquidity apply to US IPOs?","2024","https://doi.org/10.1080/00014788.2022.2150595","10.1080/00014788.2022.2150595","Accounting and Business Research","0001-4788","2159-4260","A","3501","Biddle, Gary","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-022","Dr Xue Jia","Senior Lecturer","C","5d3c6bee-df05-4e7e-b2ee-a6319c972797","Voluntary versus mandatory disclosure of liability insurance coverage limit","2023","https://doi.org/10.1016/j.jaccpubpol.2022.107029","10.1016/j.jaccpubpol.2022.107029","Journal of Accounting and Public Policy","0278-4254","1873-2070","A*","3501","Jia, Xue","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-001","Professor Margaret Abernethy","Professor","E","128a64c2-744d-4611-a0db-b9179c32bf40","Altruism, social norms, and incentive contract design","2023","https://doi.org/10.1007/s11142-021-09649-x","10.1007/s11142-021-09649-x","Review of accounting studies","1380-6653","1573-7136","A*","3501","Abernethy, Margaret","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-022","Dr Xue Jia","Senior Lecturer","C","575941a5-d51c-40c1-b46a-c9671bb3d9a8","Shareholder Short-Termism, Corporate Control and Voluntary Disclosure","2023","https://doi.org/10.1287/mnsc.2022.4357","10.1287/mnsc.2022.4357","Management science","0025-1909","1526-5501","A*","3507","Jia, Xue","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-040","Associate Professor Stefan Schantl","Associate Professor","D","1eb3b4b8-0996-5ea7-b758-f9447d6658d1","Financial Reporting and Credit Ratings: On the Effects of Competition in the Rating Industry and Rating Agencies' Gatekeeper Role","2019","https://doi.org/10.1111/1475-679X.12264","10.1111/1475-679X.12264","Journal of Accounting Research","0021-8456","1475-679X","A*","3501","Schantl, Stefan","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-014","Professor Michael Davern","Professor","E","7e519e8d-3127-573c-af38-d722007f8d41","Is Financial Reporting Still Useful? Australian Evidence","2019","https://doi.org/10.1111/abac.12152","10.1111/abac.12152","Abacus","0001-3072","1467-6281","A","3501","Davern, Michael","normalized full name","medium - requires validation","ISSN/eISSN","matched"
