researcher_name,researcher_profile_url,title,journal_name,year,doi,issn,article_url,abdc_self_reported,coauthors,author_count,author_count_confidence,publication_type,scimago_sjr,scimago_quartile,source,citation_percentile,raw
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,The effect of prior commitment and type of accountability on auditorsâ€™ evaluation of subsequent events,Auditing: A Journal of Practice and Theory,2019,,,,none,"Fargher, N & Phang, S",2,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Fargher, N & Phang, S 2019, 'The effect of prior commitment and type of accountability on auditorsâ€™ evaluation of subsequent events', Auditing: A Journal of Practice and Theory."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Accounting for financial instruments with characteristics of debt and equity: finding a way forward,Accounting & Finance,2019,,,,none,"Fargher, N, Sidhu, B, Tarca, A et al",3,ok,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"Fargher, N, Sidhu, B, Tarca, A et al 2019, 'Accounting for financial instruments with characteristics of debt and equity: finding a way forward', Accounting & Finance, vol. 59, pp. 7-58pp."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,The role of the audit committee in their oversight of whistle-blowing,Auditing: A Journal of Practice and Theory,2018,,,,none,"Lee, G & Fargher, N",2,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Lee, G & Fargher, N 2018, 'The role of the audit committee in their oversight of whistle-blowing', Auditing: A Journal of Practice and Theory, vol. 37, no. 1, pp. 167-189."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Further Evidence on the Effect of Regulation on the Exit of Small Auditors from the Audit Market and Resulting Audit Quality,Auditing: A Journal of Practice and Theory,2018,,,,none,"Fargher, N, Jiang, A & Yu, Y",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Fargher, N, Jiang, A & Yu, Y 2018, 'Further Evidence on the Effect of Regulation on the Exit of Small Auditors from the Audit Market and Resulting Audit Quality', Auditing: A Journal of Practice and Theory, vol. 37, no. 4, pp. 95-115."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Trends in Auditor Reporting in Australia: A Synthesis and Opportunities for Research,Australian Accounting Review,2016,,,,none,"Carson, E, Zhang, Y & Fargher, N",3,ok,journal_article,0.702,Q2,ANU RSA/RSFAS profile page,,"Carson, E, Zhang, Y & Fargher, N 2016, 'Trends in Auditor Reporting in Australia: A Synthesis and Opportunities for Research', Australian Accounting Review, vol. 26, no. 3, pp. 226-242."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Audit Quality for US-listed Chinese Companies,International Journal of Auditing,2016,,,,none,"Dang, C, Fargher, N & Lee, G",3,ok,journal_article,0.681,Q2,ANU RSA/RSFAS profile page,,"Dang, C, Fargher, N & Lee, G 2016, 'Audit Quality for US-listed Chinese Companies', International Journal of Auditing, vol. 21: 150-163."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,The Effects of Tone at the Top and Coordination with External Auditors on Internal Auditors' Fraud Risk Assessments,Accounting & Finance,2015,,,,none,"Wang, I & Fargher, N",2,ok,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"Wang, I & Fargher, N 2015, 'The Effects of Tone at the Top and Coordination with External Auditors on Internal Auditors' Fraud Risk Assessments', Accounting & Finance, vol. -, no. -, pp. 1-26."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Does Short Selling Amplify Price Declines or Align Stocks with Their Fundamental Values?,Management Science,2014,,,,none,"Curtis, A & Fargher, N",2,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Curtis, A & Fargher, N 2014, 'Does Short Selling Amplify Price Declines or Align Stocks with Their Fundamental Values?', Management Science, vol. 60, no. 9, pp. 2324-2340."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,How do auditors perceive CEO's risk-taking incentives?,Accounting and Finance,2014,,,,none,"Fargher, N, Jiang, A & Yu, Y",3,ok,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"Fargher, N, Jiang, A & Yu, Y 2014, 'How do auditors perceive CEO's risk-taking incentives?', Accounting and Finance, vol. 54, no. 4, pp. 1157-1181."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Changes in the measurement of fair value: Implications for accounting earnings,Accounting Forum,2014,,,,none,"Fargher, N & Zhang, J",2,ok,journal_article,1.087,Q1,ANU RSA/RSFAS profile page,,"Fargher, N & Zhang, J 2014, 'Changes in the measurement of fair value: Implications for accounting earnings', Accounting Forum, vol. 38, no. 3, pp. 184-199."
