researcher_name,title,journal_name,year,article_url,publication_type
Louise Lu,Financial Statement Comparability and Expected Crash Risk,Journal of Accounting and Economics,2016,,journal_article
Scarlett Luo,"Good for CEOs, bad for stock market? Evidence from CEO risk‐taking incentives and stock price delay",Abacus,,,journal_article
Juliana Ng,"Australian Not-For-Profit Sector Views on the Conceptual Framework, Accounting Standards and Accounting Information",Accounting & Finance,,,journal_article
Juliana Ng,Presentation Format and Financial Literacy: Accessibility and Assessability of Retirement Savings Statements,Journal of Consumer Affairs,2015,,journal_article
Juliana Ng,"GAAP, GFS and AASB 1049: Perceptions of Public Sector Stakeholders",Accounting & Finance,2013,,journal_article
Juliana Ng,Conceptual Framework Issues: Perspectives of Australian Public Sector Stakeholders,Accounting & Business Research,2012,,journal_article
Juliana Ng,Mind Your Accruals: Perceived Usefulness of Financial Information in the Australian Public Sector Under Different Accounting Systems,Financial Accountability & Management,2010,,journal_article
Juliana Ng,The Moral Intensity of Reduced Audit Quality Acts,Auditing: A Journal of Practice and Theory,2008,,journal_article
Juliana Ng,The Influence of Analyst and Management Forecasts on Investor Decision Making: An Experimental Approach,Australian Journal of Management,2008,,journal_article
Juliana Ng,Effects of Employee Support on Junior Accountants’ Job Attitudes and Intention to Quit,Australian Accounting Review,2008,,journal_article
Juliana Ng,The Interrelationship Between Management Control Mechanisms and Strategy,Management Accounting Research,2007,,journal_article
Juliana Ng,The Conflict Management Styles of Male and Female Junior Accountants,International Journal of Management,2006,,journal_article
Juliana Ng,The Effect of Risk of Misstatement on the Propensity to Commit Reduced Audit Quality Acts Under Time Budget Pressure,Auditing: A Journal of Practice and Theory,2004,,journal_article
Greg Shailer,"Auditing, Assurance Services and Ethics in Australia: An Integrated Approach",,2016,http://www.pearson.com.au/products/A-C-Arens-Best-Shailer-Fiedler-Elder-B/Auditing-Assurance-Services-Ethics-in-Australia-with-ACL-Access-Code-Card/9781488609138?R=9781488609138,textbook
