journal_title,publisher,issn,online_issn,year_inception,field_of_research,abdc_rating,abdc_list_version,source_url
Faith and Economics,American Theological Libraries Association,0896-307X,,,3899,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Family Business Review,Sage Publications,0894-4865,1741-6248,1988,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Farm and Business - The Journal of the Caribbean Agro-Economic Society,Caribbean Agro-Economic Society,1019-035X,,1992,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Federal Law Review,Australian National University,0067-205X,,1964,4801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Feminist Economics,Taylor & Francis Online,1354-5701,1466-4372,1995,3801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
FIIB Business Review,Sage Publications,2319-7145‎,2455-2658,2014,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Finance,Association Francaise de Finance,0752-6180,,1980,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Finance and Stochastics,Springer International Publishing,0949-2984,1432-1122,1996,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Finance India,Indian Institute of Finance,0970-3772,,1987,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Finance Research Letters,Elsevier,1544-6123,1544-6131,2004,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial Accountability and Management,Wiley-Blackwell Publishing,0267-4424,1468-0408,1985,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial Analysts Journal,Taylor & Francis Online,0015-198X,1938-3312,1945,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial History Review,Cambridge University Press,0968-5650,1474-0052,1994,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial Innovation,Springer Nature,,2199-4730,2015,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial Management,Wiley-Blackwell Publishing,0046-3892,1755-053X,1972,3502,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial Markets and Portfolio Management,Springer International Publishing,1934-4554,2373-8529,1987,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"Financial Markets, Institutions and Instruments",Wiley-Blackwell Publishing,0963-8008,1468-0416,1992,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial Planning Research Journal,"Financial Advice Association of Australia, in partnership with Paradigm Publishing Services",2206-1355,,2015,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial Planning Review,Wiley,,2573-8615,2018,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial Reporting,Franco Angeli,2036-671X,2036-6779,2011,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial Review (US),Wiley-Blackwell Publishing,0732-8516,1540-6288,1969,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial Services Newsletter,LexisNexis,1035-2155,1447-137X,1985,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financial Services Review,Academy of Financial Services - Elsevier,1057-0810,1873-5673,1992,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Financijska Teorija i Praksa,Institute of Public Finance,1332-3970,1333-9354,1977,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Finnish Economic Papers,Finnish Economic Association,0784-5197,1798-7423,1988,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
First Monday,University of Illinois Press,1396-0466,,1996,4609,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Fiscal Studies,Wiley-Blackwell Publishing,0143-5671,1475-5890,1979,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Flexible Services and Manufacturing Journal,Springer International Publishing,1936-6582,1936-6590,1988,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Food Policy,Elsevier,0306-9192,1873-5657,1975,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Food Quality and Preference,Elsevier,0950-3293,,1988,3506,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Fordham Journal of Corporate & Financial Law,Fordham Law School,1532-303X,,1996,4801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Foreign Affairs,Council on Foreign Relations,0015-7120,1665-1707,1910,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Foreign Policy (Washington),"National Affairs, Inc.",0015-7228,1945-2276,1971,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Foreign Trade Review,Sage Journals,0015-7325,0971-7625,1966,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Foresight,Emerald,1463-6689,1465-9832,1999,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Forest Policy and Economics,Elsevier,1389-9341,1872-7050,2000,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Forum for Health Economics and Policy,De Gruyter,2194-6191,1558-9544,1998,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Forum for Social Economics,Taylor & Francis Online,0736-0932,1874-6381,1975,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Forum of International Development Studies,Nagoya University,1341-3732,,1994,3899,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Foundations and Trends in Accounting,Now Publishers,1554-0642,1554-0650,2006,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Foundations and Trends in Econometrics,Now Publishers,1551-3076,1551-3084,2005,3802,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Foundations and Trends in Finance,Now Publishers,1567-2395,1567-2409,2005,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Foundations and Trends in Microeconomics,Now Publishers,1547-9846,1547-9854,2005,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Frontiers in Finance and Economics,PHI,1814-2044,,2004,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Frontiers of Economics in China,Higher Education Press,1673-3444,1673-3568,2006,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Futures,Elsevier,0016-3287,1873-6378,1968,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Fuzzy Economic Review,International Association for Fuzzy-Set Management and Economy,1136-0593,2445-4192‎,1995,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Gadjah Mada International Journal of Business,"Master in Management Program, Faculty of Economics and Business, Universitas Gadjah Mada",1411-1128,2338-7238,1999,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Games,MDPI,2073-4336,,2010,3803,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Games and Economic Behavior,Elsevier,0899-8256,1090-2473,1989,3803,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Gender and Society,Sage Publications,0891-2432,1552-3977,1987,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Gender in Management: an international journal,Emerald Group Publishing,1754-2413,1754-2421,1985,3505,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"Gender, Work and Organization",Wiley-Blackwell Publishing,0968-6673,1468-0432,1994,3505,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
German Economic Review,Wiley-Blackwell Publishing,1465-6485,1468-0475,2000,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
German Journal of Agricultural Economics,dfv Mediengruppe,0002-1121,,1952,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
German Journal of Human Resource Management,Sage Publications,2397-0022,2397-0030,1987,3505,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Business and Economics Review,Inderscience Enterprises Ltd.,1097-4954,1745-1329,1999,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Business and Organizational Excellence,Wiley-Blackwell Publishing,1932-2054‎,1932-2062‎,1981,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Business Review,Sage Publications,0972-1509,0973-0664,2000,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Economic Review,Taylor & Francis Online,1226-508X,1744-3873,1973,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Economy Journal,De Gruyter,2194-5659,1553-5304,2000,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Environmental Change,Elsevier,0959-3780,1872-9495,1990,3599,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Environmental Politics,MIT Press,1526-3800,1536-0091,2001,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Finance Journal,Elsevier,1044-0283,1873-5665,1989,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Journal of Accounting and Finance,Institute for Global Business Research,2574-0474,2574-0482,2017,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Journal of Flexible Systems Management,Springer Nature,0972-2696,0974-0198,2000,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"Global Knowledge, Memory and Communication",Emerald Group Publishing,2514-9342,2514-9350,2018,4609,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Networks: A Journal of Transnational Affairs,Wiley-Blackwell Publishing,1470-2266,1471-0374,2001,3599,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Social Policy,Sage Publications,1468-0181,1741-2803,2001,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Global Strategy Journal,Wiley-Blackwell Publishing,2042-5791,2042-5805,,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Gospodarka Narodowa,"Instytut Gospodarki Narodowej, Warsaw",0867-0005,2300-5238,1946,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Government Information Quarterly,Elsevier,0740-624X,1872-9517,1984,4609,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Griffith Law Review,Griffith University,1038-3441,1839-4205,1992,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Group & Organization Management,Sage Publications,1059-6011,1552-3993,1976,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Group Decision and Negotiation,Springer International Publishing,0926-2644,1572-9907,1992,4609,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"Group Dynamics: theory, research and practice",American Psychological Association,1089-2699,1930-7802,1997,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Group Processes and Intergroup Relations,Sage Publications,1368-4302,1461-7188,1998,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Growth and Change,Wiley-Blackwell Publishing,0017-4815,1468-2257,1970,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Habitat International,Elsevier,0197-3975,1873-5428,1976,3504,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Harvard Business Review,Harvard Business Publishing,0017-8012,,1922,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Harvard Environmental Law Review,Harvard Environmental Law Review,0147-8257,,1976,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Harvard International Law Journal,Harvard University Press,0017-8063,2153-2494,1960,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Harvard Journal of Law and Public Policy,Harvard Society for Law and Public Policy,0193-4872,2374-6572,1978,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Harvard Journal of Law and Technology,Harvard University Press,0897-3393,2153-263X,1988,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Harvard Law Review,Harvard University Press,0017-811X,2161-976X,1886,4801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Hastings Business Law Journal,University of California Press,1554-849X,1554-8503,2005,4801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Care Management Review,Lippincott Williams & Wilkins,0361-6274,1550-5030,1976,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Care Management Science,Springer International Publishing,1386-9620,1572-9389,1998,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Communication,Taylor & Francis Online,1041-0236,1532-7027,1989,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Economics,Wiley-Blackwell Publishing,1057-9230,1099-1050,1992,3801,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Economics Review,Springer International Publishing,,2191-1991,2011,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"Health Economics, Policy and Law",Cambridge University Press,1744-1331,1744-134X,2006,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Informatics Journal,Sage Publications,1460-4582,1741-2811,1995,4609,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Marketing Quarterly,Taylor & Francis Online,0735-9683,1545-0864,1983,3506,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Policy,Elsevier,0168-8510,1872-6054,1984,3801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Promotion International,Oxford University Press,0957-4824,1460-2245,1986,3506,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Services Management Research,Sage Publications,0951-4848,1758-1044,1988,3599,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Services Research,Wiley-Blackwell Publishing,0017-9124,1475-6773,1966,3599,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Health Systems,Taylor & Francis,2047-6965,2047-6973,2012,3509,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Higher Education Quarterly,Wiley-Blackwell Publishing,0951-5224,1468-2273,1947,3505,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"Higher Education, Skills and Work-based Learning",Emerald Group Publishing,2042-3896,2042-390X,2010,3505,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Historical Materialism,Brill,1465-4466,1569-206X,1997,3803,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Historical Studies in Industrial Relations,Liverpool University Press,1362-1572,2049-4459,1996,3505,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
History of Economic Ideas,Fabrizio Serra Editore,1122-8792,1724-2169,1993,3899,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
History of Economic Thought and Policy,Franco Angeli Edizioni,2240-9971,2280-188X,2004,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
History of Economics Review,Taylor & Francis Online,1037-0196,1838-6318,1981,3803,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
History of Political Economy,Duke University Press,0018-2702,1527-1919,1969,3803,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Hitotsubashi Journal of Economics,Sanseido Publishing Company Ltd,0018-280X,,1960,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Homo Oeconomicus,Springer International Publishing,0943-0180,2366-6161,1983,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Hong Kong Law Journal,Thomson Reuters,0378-0600,,1971,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Hospitality & Society,Intellect Publishing,2042-7913,2042-7921,2011,3504,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Housing Policy Debate,Taylor & Francis Online,1051-1482,2152-050X,1990,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Housing Studies,Taylor & Francis Online,0267-3037,1466-1810,1986,3504,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Houston Business and Tax Law Journal,University of Houston Law Center,1543-2602,,2001,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Human Performance,Taylor & Francis Online,0895-9285,1532-7043,1988,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Human Relations,Sage Publications,0018-7267,1741-282X,1947,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Human Resource Development International,Taylor & Francis Online,1367-8868,1469-8374,1998,3505,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Human Resource Development Quarterly,Wiley-Blackwell Publishing,1044-8004,1532-1096,1990,3505,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Human Resource Development Review,Sage Publications,1534-4843,1552-6712,2002,3505,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Human Resource Management (US),Wiley-Blackwell Publishing,0090-4848,1099-050X,1961,3505,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Human Resource Management International Digest,Emerald Group Publishing,0967-0734,1758-7166,1993,3505,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Human Resource Management Journal (UK),Wiley-Blackwell Publishing,0954-5395,1748-8583,1990,3505,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Human Resource Management Review,Elsevier,1053-4822,1873-7889,1991,3505,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Human Systems Management,Sage Publications,0167-2533,1875-8703,1980,3505,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Human-Computer Interaction,Taylor & Francis Online,0737-0024,1532-7051,1985,4609,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
IATSS Research,Elsevier,0386-1112,2210-4240,1977,3509,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
ICSID Review: foreign investment law journal,Oxford University Press,2049-1999,0258-3690,1986,4801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
IEEE Transactions on Engineering Management,Institute of Electrical and Electronics Engineers,1558-0040,0018-9391,1963,3503,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
IEEE Transactions on Intelligent Transportation Systems,Institute of Electrical and Electronics Engineers,1524-9050,1558-0016,2000,3509,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
IEEE Transactions on Professional Communication,Institute of Electrical and Electronics Engineers,0361-1434,1558-1500,1972,4609,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
IIC International Review of Intellectual Property and Competition Law,Springer International Publishing,0018-9855,2195-0237,1970,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
IIM Kozhikode Society and Management Review,Sage Publications,2321-029X,2277-9752,2012,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
IIMB Management Review,Elsevier,0970-3896,2212-4446,1986,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
IISE Transactions,Taylor & Francis Online,0740-817X,1545-8830,1969,3503,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
ILR Review (Industrial and Labor Relations Review),Sage Publications,0019-7939,2162-271X,1947,3505,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
IMA Educational Case Journal,"Institute of Management Accountants, Inc.",1940-204X,,2008,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
IMF Economic Review,Palgrave Macmillan,2041-4161,2041-417X‎,2011,3801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Impact Assessment and Project Appraisal,Taylor & Francis Online,1461-5517,1471-5465,1998,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Indian Economic Journal,Sage Publications,0019-4662,,1953,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Indian Economic Review,"University of Delhi, School of Economics",0019-4670,2520-1778,1952,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Indian Growth and Development Review,Emerald Group Publishing,1753-8254,1753-8262,2008,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Indian Journal of Corporate Governance,Sage Publications,0974-6862,,2014,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
