journal_title,publisher,issn,online_issn,year_inception,field_of_research,abdc_rating,abdc_list_version,source_url
Accounting History,Sage Publications,1032-3732,1749-3374,1989,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting History Review,Taylor & Francis Online,2155-2851,2155-286X,2011,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting Horizons,American Accounting Association,0888-7993,1558-7975,1987,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting in Europe,Taylor & Francis Online,1744-9480,1744-9499,2004,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting Perspectives,Wiley-Blackwell Publishing,1911-382X,1911-3838,2002,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting Research Journal,Emerald Group Publishing Limited,1030-9616,,1986,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Accounting Theory and Practice,Elsevier ScienceDirect,2949-9453,,,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"Accounting, Economics and Law – A Convivium",De Gruyter,2194-6051,2152-2820,2011,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"Accounting, Finance and Governance Review",Irish Accounting and Finance Association,0791-9638,,1994,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
"Accounting, Organizations and Society",Elsevier,0361-3682,1873-6289,1976,3501,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
ACM Transactions on Information Systems,Association for Computing Machinery,1046-8188,1558-2868,1983,4609,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
ACM Transactions on Modeling and Computer Simulation,Association for Computing Machinery,1049-3301,1558-1195,1991,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Acta Oeconomica,Akademiai Kiado,0001-6373,1588-2659,1951,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Acta Psychologica,Elsevier,0001-6918,1873-6297,1936,3507,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Acta Turistica,"University of Zagreb, Faculty of Economics and Business",0353-4316,1848-6061,1989,3508,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Acta Universitatis Bohemiae Meridionalis,University of South Bohemia Faculty of Economics,1212-3285,2336-4297,1971,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Action Learning and Action Research Journal,ALARA Association Inc.,1326-964X,1326-964X,1996,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Action Learning Research and Practice,Taylor and Francis Online,1476-7333,1476-7341,2004,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Active Learning in Higher Education,Sage Publications,1469-7874,1741-2625,2000,3505,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Actuarial Research Clearinghouse,SOA Education and Research Section,0732-5428,,2004,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Adelaide Law Review,University of Adelaide,0065-1915,,1960,4801,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Administration and Society,Sage Publications,0095-3997,1552-3039,1975,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Administrative Science Quarterly,Sage Publications,0001-8392,1930-3815,1956,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Administrative Sciences,MDPI,,2076-3387,2011,3507,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Administrative Theory and Praxis,Taylor & Francis Online,1084-1806,1949-0461,1979,3507,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances and Applications in Statistics,Pushpa Publishing House,0972-3617,,2001,4905,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Accounting,Elsevier,0882-6110,1046-5715,1984,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Accounting Behavioral Research,Emerald Group Publishing,1475-1488,,1998,3501,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Accounting Education: teaching and curriculum innovations,Emerald Group Publishing,1085-4622,,1996,3501,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Applied Probability,Applied Probability Trust,0001-8678,1475-6064,1964,4905,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Consumer Research,Association for Consumer Research,0098-9258,,1974,3506,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Developing Human Resources,Sage Publications,1523-4223,1552-3055,1999,3505,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Environmental Accounting and Management,Emerald Group Publishing,1479-3598,,2000,3501,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Experimental Social Psychology,Elsevier,0065-2601,1557-8410,1964,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Advances in Hospitality and Leisure,Emerald Group Publishing,1745-3542,,2005,3504,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
