journal_name,journal_canonical,issn,issn_online,issn_scimago,quality_rank,abdc_list_year,abdc_for_code,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_categories,impact_factor,impact_factor_5yr,publication_count,abdc_match_type,scimago_match_type,issn_conflict
Auditing: A Journal of Practice & Theory,Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,,A*,2025,3501,2.32,Q1,111.0,4.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,15,title,title-variant,
AUSTRALIAN TAX REVIEW,Australian Tax Review,0311-094X,,,A,2025,4801,,,,,,,,15,title,,
EJOURNAL OF TAX RESEARCH,eJournal of Tax Research,1448-2398,,,A,2025,4801,0.19,Q4,15.0,0.65,Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4),,,15,title,title,
Taxation in Australia,Taxation in Australia,0494-8343,,,C,2025,4801,,,,,,,,14,title,,
Accounting Research Journal,Accounting Research Journal,1030-9616,,,B,2025,3501,0.62,Q2,37.0,5.11,Accounting (Q2); Finance (Q2),,,13,title,title,
British Accounting Review,British Accounting Review,0890-8389,1095-8347,,A*,2025,3501,1.705,Q1,100.0,8.33,Accounting (Q1),,,13,title,title,
Economic Record,The Economic Record,0013-0249,1475-4932,,A,2025,3801,0.469,Q2,53.0,1.27,Economics and Econometrics (Q2),,,13,title,title,
Journal of the Australasian Tax Teachers Association,Journal of the Australasian Tax Teachers Association,1832-911X,,,B,2025,4801,0.134,Q4,6.0,0.25,Accounting (Q4); Finance (Q4); Law (Q4),,,13,title,title,
Pacific Basin Finance Journal,Pacific-Basin Finance Journal,0927-538X,1879-0585,,A,2025,3502,1.322,Q1,92.0,6.12,Economics and Econometrics (Q1); Finance (Q1),,,13,title,title,
Abacus,Abacus,0001-3072,1467-6281,,A,2025,3501,0.762,Q2,60.0,3.2,Accounting (Q2),,,12,title,title,
Australia and New Zealand Franchising,,,,,none,2025,,,,,,,,,12,,,
Journal of Accounting Research,Journal of Accounting Research,0021-8456,1475-679X,,A*,2025,3501,9.774,Q1,186.0,12.22,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,12,title,title,
SSRN Electronic Journal,,,,,none,2025,,,,,,,,,12,,,
The Journal of Finance,The Journal of Finance,0022-1082,1540-6261,,A*,2025,3502,22.27,Q1,386.0,12.3,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,12,title,title,
Journal of Business Finance and Accounting,Journal of Business Finance & Accounting,0306-686X,1468-5957,,A*,2025,3501,1.202,Q1,102.0,3.81,"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)",,,11,title,title,
The Tax Specialist,Tax Specialist,1329-1203,,,B,2025,4801,,,,,,,,11,title,,
ABACUS - A Journal of Accounting Finance and Business Studies,Abacus,0001-3072,1467-6281,,A,2025,3501,0.762,Q2,60.0,3.2,Accounting (Q2),,,10,title-variant,title-variant,
AFAANZ 2013,,,,,none,2025,,,,,,,,,10,,,
Auditing: A Journal of Practice and Theory,Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,,A*,2025,3501,2.32,Q1,111.0,4.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,10,title,title-variant,
Journal of Futures Markets,The Journal of Futures Markets,0270-7314,1096-9934,,A,2025,3502,0.599,Q2,69.0,2.93,"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)",,,10,title,title,
Proceedings of the AFAANZ Annual Conference,,,,,none,2025,,,,,,,,,10,,,
Review of Finance,Review of Finance,1572-3097,1573-692X,,A*,2025,3502,9.87,Q1,91.0,7.62,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,10,title,title,
Tax Notes International,,,,,none,2025,,,,,,,,,10,,,
>,,,,,none,2025,,,,,,,,,9,,,
"Abacus: a journal of accounting, finance and business studies",Abacus,0001-3072,1467-6281,,A,2025,3501,0.762,Q2,60.0,3.2,Accounting (Q2),,,9,title-variant,title-variant,
Accounting and Business Research,Accounting and Business Research,0001-4788,2159-4260,,A,2025,3501,1.065,Q1,77.0,3.62,Accounting (Q1); Finance (Q1),,,9,title,title,
"Australian Tax Analysis: Cases, Commentary, Commercial Applications & Questions",,,,,none,2025,,,,,,,,,9,,,
International Review of Finance,International Review of Finance,1369-412X,1468-2443,,A,2025,3502,0.636,Q2,35.0,2.96,Economics and Econometrics (Q2); Finance (Q2),,,9,title,title,
Managerial Auditing Journal,Managerial Auditing Journal,0268-6902,1758-7735,,A,2025,3501,0.676,Q1,83.0,3.39,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Organizational Behavior and Human Resource Management (Q2)",,,9,title,title,
The Accounting Review,The Accounting Review,0001-4826,1558-7967,,A*,2025,3501,4.403,Q1,217.0,3.71,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,9,title,title,
The Review of Financial Studies,The Review of Financial Studies,0893-9454,1465-7368,,A*,2025,3502,17.406,Q1,268.0,8.71,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,9,title,title,
Australian Business Law Review,Australian Business Law Review,0310-1053,,,A,2025,4801,,,,,,,,8,title,,
Franchising Law and Policy Review,,,,,none,2025,,,,,,,,,8,,,
Franchising Law and Practice,,,,,none,2025,,,,,,,,,8,,,
Journal of Business Ethics,Journal of Business Ethics,0167-4544,1573-0697,,A,2025,3507,3.138,Q1,304.0,10.35,"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Law (Q1)",,,8,title,title,
Journal of Contemporary Accounting and Economics,Journal of Contemporary Accounting and Economics,1815-5669,,,A,2025,3501,0.801,Q2,46.0,4.18,Accounting (Q2),,,8,title,title,
Accounting & Finance,Accounting and Finance,0810-5391,1467-629X,,A,2025,3501,0.814,Q1,77.0,3.53,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)",,,7,title,title,
Accounting Horizons,Accounting Horizons,0888-7993,1558-7975,,A,2025,3501,1.361,Q1,98.0,3.31,Accounting (Q1),,,7,title,title,
"Accounting, Organizations and Society","Accounting, Organizations and Society",0361-3682,1873-6289,,A*,2025,3501,3.098,Q1,170.0,5.0,Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1),,,7,title,title,
Australian Economic Review,The Australian Economic Review,0004-9018,1467-8462,,B,2025,3801,0.292,Q3,37.0,0.79,Economics and Econometrics (Q3),,,7,title,title,
British Tax Review,British Tax Review,0007-1870,,,A*,2025,4801,0.174,Q3,5.0,0.28,Law (Q3); Accounting (Q4); Finance (Q4),,,7,title,title,
Energy Economics,Energy Economics,0140-9883,1873-6181,,A*,2025,3801,3.448,Q1,252.0,14.6,Economics and Econometrics (Q1); Energy (miscellaneous) (Q1),,,7,title,title,
European Accounting Review,The European Accounting Review,0963-8180,1468-4497,,A*,2025,3501,2.272,Q1,98.0,6.0,"Accounting (Q1); Aerospace Engineering (Q1); Arts and Humanities (miscellaneous) (Q1); Automotive Engineering (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1); History (Q1)",,,7,title,title,
Management Accounting Research,Management Accounting Research,1044-5005,1096-1224,,A*,2025,3501,1.625,Q1,109.0,5.19,Accounting (Q1); Finance (Q1); Information Systems and Management (Q1),,,7,title,title,
Pacific Accounting Review,Pacific Accounting Review,0114-0582,2041-5494,,B,2025,3501,0.521,Q2,40.0,2.84,Accounting (Q2); Finance (Q2),,,7,title,title,
Review of Accounting Studies,Review of Accounting Studies,1380-6653,1573-7136,,A*,2025,3501,5.56,Q1,118.0,8.99,"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1)",,,7,title,title,
University of New South Wales Law Journal,University of New South Wales Law Journal,0313-0096,,,A,2025,4801,0.253,Q2,16.0,1.04,Law (Q2); Philosophy (Q2); Sociology and Political Science (Q3),,,7,title,title,
ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,,,,none,2025,,,,,,,,,6,,,
Auditing: a Journal of Practice and Theory,Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,,A*,2025,3501,2.32,Q1,111.0,4.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,6,title,title-variant,
Australian Tax Forum,Australian Tax Forum,0812-695X,,,A*,2025,4801,,,,,,,,6,title,,
Economic Papers,Economic Papers: a journal of applied economics and policy,1759-3441,1759-3441,,B,2025,3801,0.304,Q2,28.0,1.2,"Economics, Econometrics and Finance (miscellaneous) (Q2)",,,6,abdc-prefix,title,
International VAT Monitor,International VAT Monitor,0925-0832,,,B,2025,4801,0.137,Q4,3.0,0.11,"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4)",,,6,title,title,
Journal of International Accounting Research,Journal of International Accounting Research,1542-6297,1558-8025,,A,2025,3501,0.526,Q2,34.0,1.98,Accounting (Q2); Business and International Management (Q2),,,6,title,title,
Program & Proceedings - Accounting & Finance Association of Australia Conference 2008,,,,,none,2025,,,,,,,,,6,,,
Programme & Proceedings 35th Annual Congress of the European Accounting Association,,,,,none,2025,,,,,,,,,6,,,
Understanding Taxation Law: An Interactive Approach,,,,,none,2025,,,,,,,,,6,,,
Accounting Auditing and Accountability Journal,Accounting Auditing and Accountability Journal,0951-3574,1758-4205,,A*,2025,3501,1.574,Q1,136.0,4.12,"Accounting (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)",,,5,title,title,
AFAANZ Conference,,,,,none,2025,,,,,,,,,5,,,
Auditing - a Journal of Practice and Theory,Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,,A*,2025,3501,2.32,Q1,111.0,4.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,5,title,title-variant,
AUDITING: A Journal of Practice & Theory,Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,,A*,2025,3501,2.32,Q1,111.0,4.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,5,title,title-variant,
Australian Tax Law Bulletin,Australian Tax Law Bulletin,2203-9481,,,C,2025,4801,,,,,,,,5,title,,
British Tax Review Journal,British Tax Review,0007-1870,,,A*,2025,4801,0.174,Q3,5.0,0.28,Law (Q3); Accounting (Q4); Finance (Q4),,,5,title-variant,title-variant,
Economic Analysis and Policy,Economic Analysis and Policy,0313-5926,2204-2296,,A,2025,3801,1.966,Q1,86.0,10.58,"Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)",,,5,title,title,
Economics Letters,Economics Letters,0165-1765,1873-7374,,A,2025,3801,0.718,Q2,142.0,2.2,Economics and Econometrics (Q2); Finance (Q2),,,5,title,title,
Finance Research Letters,Finance Research Letters,1544-6123,1544-6131,,A,2025,3502,1.672,Q1,143.0,8.17,Finance (Q1),,,5,title,title,
Fiscal Studies,Fiscal Studies,0143-5671,1475-5890,,B,2025,3801,0.542,Q2,54.0,1.3,Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2),,,5,title,title,
Indigenous Law Bulletin,,,,,none,2025,,,,,,,,,5,,,
International Journal of Business Studies,,,,,none,2025,,,,,,,,,5,,,
International Journal of Forecasting,International Journal of Forecasting,0169-2070,1872-8200,,A,2025,3802,2.272,Q1,135.0,6.46,Business and International Management (Q1),,,5,title,title,
JASSA - Journal of the Securities Institute of Australia,,,,,none,2025,,,,,,,,,5,,,
Journal of Banking & Finance,Journal of Banking & Finance,0378-4266,1872-6372,,A*,2025,3502,1.954,Q1,225.0,5.11,Economics and Econometrics (Q1); Finance (Q1),,,5,title,title,
Journal of Empirical Finance,Journal of Empirical Finance,0927-5398,1879-1727,,A,2025,3502,1.139,Q1,101.0,3.05,Economics and Econometrics (Q1); Finance (Q1),,,5,title,title,
Journal of Empirical Legal Studies,Journal of Empirical Legal Studies,1740-1453,1740-1461,,A*,2025,4801,0.466,Q1,38.0,1.14,Law (Q1); Education (Q2),,,5,title,title,
Journal of International Financial Markets Institutions and Money,"Journal of International Financial Markets, Institutions and Money",1042-4431,1873-0612,,A,2025,3502,1.389,Q1,94.0,7.71,Economics and Econometrics (Q1); Finance (Q1),,,5,title,title,
Journal of Management Accounting Research,Journal of Management Accounting Research,1049-2127,1558-8033,,A*,2025,3501,1.248,Q1,38.0,1.91,Accounting (Q1); Business and International Management (Q1),,,5,title,title,
New Zealand Journal of Taxation Law and Policy,New Zealand Journal of Taxation Law and Policy,1322-4417,,,A,2025,4801,,,,,,,,5,title,,
Proceedings AFAANZ 2013,,,,,none,2025,,,,,,,,,5,,,
Revenue Law Journal,Revenue Law Journal,1034-7747,2202-4859,,B,2025,4801,,,,,,,,5,title,,
The Economic Record,The Economic Record,0013-0249,1475-4932,,A,2025,3801,0.469,Q2,53.0,1.27,Economics and Econometrics (Q2),,,5,title,title,
Accounting and Finance Association Australia and New Zealand Program & Proceedings,,,,,none,2025,,,,,,,,,4,,,
Accounting Finance,,,,,none,2025,,,,,,,,,4,,,
Annals of Operations Research,Annals of Operations Research,0254-5330,1572-9338,,A,2025,3507,1.166,Q1,143.0,6.13,Decision Sciences (miscellaneous) (Q1); Management Science and Operations Research (Q1),,,4,title,title,
Auditing: A journal of Practice and Theory,Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,,A*,2025,3501,2.32,Q1,111.0,4.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,4,title,title-variant,
Australian Financial Review,,,,,none,2025,,,,,,,,,4,,,
Australian Financial System Inquiry Commissioned Studies and Selected Papers,,,,,none,2025,,,,,,,,,4,,,
Company and Securities Law Journal,Company and Securities Law Journal,0729-2775,,,A,2025,4801,,,,,,,,4,title,,
Cuffelinks,,,,,none,2025,,,,,,,,,4,,,
Current Issues in Auditing,Current Issues in Auditing,1936-1270,1936-1270,,B,2025,3501,0.322,Q3,22.0,1.06,Accounting (Q3),,,4,title,title,
ECONOMIC RECORD,The Economic Record,0013-0249,1475-4932,,A,2025,3801,0.469,Q2,53.0,1.27,Economics and Econometrics (Q2),,,4,title,title,
Ejournal of Tax Research,eJournal of Tax Research,1448-2398,,,A,2025,4801,0.19,Q4,15.0,0.65,Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4),,,4,title,title,
Fulbright Review of Economics and Policy,,,,,none,2025,,,,,,,,,4,,,
International Journal of Development and Conflict,International Journal of Development and Conflict,2010-2690,2010-2704,,B,2025,3801,0.252,Q3,7.0,1.54,"Development (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Political Science and International Relations (Q3)",,,4,title,title,
Journal of Economic Dynamics and Control,Journal of Economic Dynamics and Control,0165-1889,1879-1743,,A*,2025,3801,1.324,Q1,110.0,2.1,Applied Mathematics (Q1); Control and Optimization (Q1); Economics and Econometrics (Q1),,,4,title,title,
JOURNAL OF FINANCE,The Journal of Finance,0022-1082,1540-6261,,A*,2025,3502,22.27,Q1,386.0,12.3,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,4,title,title,
Journal of Financial Intermediation,Journal of Financial Intermediation,1042-9573,1096-0473,,A*,2025,3502,2.275,Q1,101.0,2.97,Economics and Econometrics (Q1); Finance (Q1),,,4,title,title,
Journal of International Financial Management and Accounting,Journal of International Financial Management and Accounting,0954-1314,1467-646X,,A,2025,3502,1.639,Q1,55.0,6.94,"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)",,,4,title,title,
Perspectives on Contemporary Auditing,,,,,none,2025,,,,,,,,,4,,,
Programme & Proceedings American Accounting Association Conference 2008,,,,,none,2025,,,,,,,,,4,,,
Research Handbook on Shareholder Power,,,,,none,2025,,,,,,,,,4,,,
Review of Corporate Finance Studies,Review of Corporate Finance Studies,2046-9128,2046-9136,,A*,2025,3502,3.738,Q1,30.0,3.22,Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1),,,4,title,title,
Tax Policy Journal,Tax Policy Journal,1833-1726,,,C,2025,4801,,,,,,,,4,title,,
Tax Specialist,Tax Specialist,1329-1203,,,B,2025,4801,,,,,,,,4,title,,
13th International Symposium on Audit Research,,,,,none,2025,,,,,,,,,3,,,
17th Annual Australasian Tax Teachers Association Conference,,,,,none,2025,,,,,,,,,3,,,
Accountability and Performance Journal,,,,,none,2025,,,,,,,,,3,,,
Accounting and Finance Association Australia and New Zealand Papers & Proceedings,,,,,none,2025,,,,,,,,,3,,,
Acta Astronautica,Acta Astronautica,0094-5765,,,none,2025,,1.078,Q1,122.0,4.29,Aerospace Engineering (Q1),,,3,,title,
Asia Pacific Journal of Financial Studies,Asia-Pacific Journal of Financial Studies,2041-9945,2041-6156,,B,2025,3502,0.542,Q2,29.0,1.54,Finance (Q2),,,3,title,title,
Asian Review of Accounting,Asian Review of Accounting,1758-8863,1758-8863,,B,2025,3501,0.556,Q2,38.0,4.6,Accounting (Q2); Finance (Q2),,,3,title,title,
ATTA 2008 Conference - Tax: The Devil's in the Detail,,,,,none,2025,,,,,,,,,3,,,
Australian Master Financial Planning Guide,,,,,none,2025,,,,,,,,,3,,,
Canadian Tax Journal,Canadian Tax Journal,0008-5111,,,A*,2025,4801,0.217,Q3,5.0,0.34,Accounting (Q3); Law (Q3); Finance (Q4),,,3,title,title,
Charity Law & Practice Review,Charity Law and Practice Review,0966-4041,,,B,2025,4801,,,,,,,,3,title,,
Charter -Sydney-,,,,,none,2025,,,,,,,,,3,,,
Commercial Law Quarterly,Commercial Law Quarterly,0819-4262,,,C,2025,4801,,,,,,,,3,title,,
Corporate Governance - An International Review,Corporate Governance: an international review,0964-8410,1467-8683,,A,2025,3507,1.992,Q1,120.0,8.85,"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)",,,3,title,title,
E - Journal of Tax Research,,,,,none,2025,,,,,,,,,3,,,
Economic and Labour Relations Review,The Economic and Labour Relations Review,1035-3046,,,B,2025,3801,0.458,Q2,33.0,1.58,Economics and Econometrics (Q2); Organizational Behavior and Human Resource Management (Q3),,,3,title,title,
European Accounting Association Conference,,,,,none,2025,,,,,,,,,3,,,
Financial Planning,,,,,none,2025,,,,,,,,,3,,,
Further Global Challenges in Tax Administration,,,,,none,2025,,,,,,,,,3,,,
Goods and Services Tax Journal,,,,,none,2025,,,,,,,,,3,,,
International Handbook on Clinical Tax Education,,,,,none,2025,,,,,,,,,3,,,
International Society of Franchising 16th Annual Conference,,,,,none,2025,,,,,,,,,3,,,
Journal of Accounting and Economics,Journal of Accounting and Economics,0165-4101,,,A*,2025,3501,8.748,Q1,207.0,8.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),,,3,title,title,
Journal of Accounting and Public Policy,Journal of Accounting and Public Policy,0278-4254,1873-2070,,A*,2025,3501,0.97,Q1,104.0,2.74,Sociology and Political Science (Q1); Accounting (Q2),,,3,title,title,
Journal of Behavioral Finance,Journal of Behavioral Finance,1542-7560,1542-7579,,A,2025,3502,0.482,Q2,37.0,2.55,Finance (Q2); Experimental and Cognitive Psychology (Q3),,,3,title,title,
Journal of Contemporary Accounting & Economics,Journal of Contemporary Accounting and Economics,1815-5669,,,A,2025,3501,0.801,Q2,46.0,4.18,Accounting (Q2),,,3,title,title,
JOURNAL OF FINANCIAL ECONOMICS,Journal of Financial Economics,0304-405X,,,A*,2025,3502,18.748,Q1,355.0,8.99,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1),,,3,title,title,
Journal of Forecasting,Journal of Forecasting,0277-6693,1099-131X,,A,2025,3802,0.665,Q2,74.0,3.43,"Computer Science Applications (Q2); Economics and Econometrics (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)",,,3,title,title,
Journal of International Business Studies,Journal of International Business Studies,0047-2506,1478-6990,,A*,2025,3507,4.454,Q1,254.0,10.07,"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)",,,3,title,title,
Journal of Real Estate Finance and Economics,Journal of Real Estate Finance and Economics,0895-5638,1573-045X,,A,2025,3504,0.882,Q1,78.0,3.01,Urban Studies (Q1); Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2),,,3,title,title,
LawAsia Journal,,,,,none,2025,,,,,,,,,3,,,
Proceedings of the Accounting and Finance Association of Australia and New Zealand (AFAANZ) Conference,,,,,none,2025,,,,,,,,,3,,,
Programme & Proceedings Accounting and Finance Association of Australia and New Zealand (AFAANZ) Conference,,,,,none,2025,,,,,,,,,3,,,
Programme & Proceedings American Accounting Association Annual Meeting,,,,,none,2025,,,,,,,,,3,,,
Quarterly Journal of Finance,Quarterly Journal of Finance,2010-1392,2010-1406,,A,2025,3502,0.484,Q2,28.0,0.72,Economics and Econometrics (Q2); Finance (Q2); Strategy and Management (Q2),,,3,title,title,
Recent Developments in Normative Trade Theory and Welfare Economics,,,,,none,2025,,,,,,,,,3,,,
Review of Quantitative Finance and Accounting,Review of Quantitative Finance and Accounting,0924-865X,1573-7179,,B,2025,3502,0.7,Q2,63.0,3.24,"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2)",,,3,title,title,
Science,Science,1095-9203,,,none,2025,,10.948,Q1,1433.0,16.75,History and Philosophy of Science (Q1); Multidisciplinary (Q1),,,3,,title,
Sensibilities,,,,,none,2025,,,,,,,,,3,,,
Space Policy,Space Policy,0265-9646,,,none,2025,,0.935,Q1,37.0,3.25,Law (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2); Space and Planetary Science (Q2),,,3,,title,
Tax Administration: Current Issues and Future Developments,,,,,none,2025,,,,,,,,,3,,,
Tax administration: Facing the challenges of the future,,,,,none,2025,,,,,,,,,3,,,
Tax and sustainability,,,,,none,2025,,,,,,,,,3,,,
Tax Simplification,,,,,none,2025,,,,,,,,,3,,,
Taxation Compliance Costs: A Festschrift for Cedric Sandford,,,,,none,2025,,,,,,,,,3,,,
Taxation in Australia: Red Edition,Taxation in Australia,0494-8343,,,C,2025,4801,,,,,,,,3,title-variant,,
The Routledge Companion to Auditing,,,,,none,2025,,,,,,,,,3,,,
The Vietnamese Economy: Awakening the Dominant Dragon,,,,,none,2025,,,,,,,,,3,,,
10th Annual Australasian Finance and Banking Conference,,,,,none,2025,,,,,,,,,2,,,
12th Annual Tax Research Network Conference,,,,,none,2025,,,,,,,,,2,,,
15th Annual Australasian Tax Teacher`s Association,,,,,none,2025,,,,,,,,,2,,,
2006 International Society of Franchising Conference,,,,,none,2025,,,,,,,,,2,,,
2010 International Business and Economics Research Conference,,,,,none,2025,,,,,,,,,2,,,
28th Australasian Tax Teachers Association Conference,,,,,none,2025,,,,,,,,,2,,,
5th International Conference on Tax Administration - Current Issues and Future Developments,,,,,none,2025,,,,,,,,,2,,,
6th International Conference on Tax Administration: Challenges of Globalising Tax Systems,,,,,none,2025,,,,,,,,,2,,,
AAA Annual Meeting and CTLA,,,,,none,2025,,,,,,,,,2,,,
