Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
59;23582;"Journal of Real Estate Finance and Economics";journal;"1573045X, 08955638";"Springer Netherlands";No;No;0,882;Q2;78;70;160;3246;464;160;3,01;46,37;22,09;10;Netherlands;Western Europe;"Springer Netherlands";"1988-2026";"Urban Studies (Q1); Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
60;19700188267;"Accounting Education";journal;"14684489, 09639284";"Routledge";No;No;0,879;Q2;58;70;94;5284;548;94;5,76;75,49;53,80;0;United Kingdom;Western Europe;"Routledge";"1992-1996, 1998, 2000-2026";"Education (Q1); Accounting (Q2)";"Business, Management and Accounting; Social Sciences"
61;21101258748;"Journal of Business and Socio-economic Development";journal;"26351374, 26351692";"Emerald Publishing";Yes;Yes;0,871;Q2;22;42;61;2370;444;60;6,54;56,43;22,83;0;United Kingdom;Western Europe;"Emerald Publishing";"2021-2026";"Business, Management and Accounting (miscellaneous) (Q1); Accounting (Q2); Business and International Management (Q2); Marketing (Q2)";"Business, Management and Accounting"
62;6500153243;"International Review of Environmental and Resource Economics";journal;"19321465, 19321473";"Now Publishers Inc";No;No;0,866;Q2;36;7;26;1363;40;25;1,81;194,71;38,10;0;United States;Northern America;"Now Publishers Inc";"2007-2025";"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2); Management, Monitoring, Policy and Law (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
63;21100899300;"Journal of Accounting in Emerging Economies";journal;"20421168, 20421176";"Emerald Group Publishing Ltd.";No;No;0,839;Q2;37;65;121;5553;786;120;6,53;85,43;32,70;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2015-2026";"Development (Q1); Sociology and Political Science (Q1); Accounting (Q2)";"Business, Management and Accounting; Social Sciences"
64;19900193217;"Journal of Emerging Technologies in Accounting";journal;"15541908, 15587940";"American Accounting Association";No;No;0,838;Q2;34;19;86;948;363;77;3,56;49,89;30,77;0;United States;Northern America;"American Accounting Association";"2009-2025";"Accounting (Q2); Computer Science Applications (Q2)";"Business, Management and Accounting; Computer Science"
65;200147123;"Accounting and Finance";journal;"1467629X, 08105391";"Wiley-Blackwell";No;No;0,814;Q2;77;234;494;17306;2106;494;3,53;73,96;38,58;1;United States;Northern America;"Wiley-Blackwell";"1979-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
66;21101193873;"Journal of Economics and Development";journal;"26325330, 18590020";"Emerald Publishing";Yes;Yes;0,810;Q2;27;22;66;1252;426;66;5,72;56,91;38,89;0;United Kingdom;Western Europe;"Emerald Publishing";"2019-2026";"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Economics and Econometrics (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
67;17332;"International Journal of Finance and Economics";journal;"10991158, 10769307";"John Wiley and Sons Ltd";No;No;0,807;Q2;64;329;755;23689;3620;752;5,20;72,00;27,88;5;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1996-2026";"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
68;19900191757;"Journal of Accounting and Organizational Change";journal;"18325912";"Emerald Publishing";No;No;0,805;Q2;43;102;130;8611;740;127;5,59;84,42;39,18;0;United Kingdom;Western Europe;"Emerald Publishing";"2005-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
