university,name,job_title,academic_level,level_code,h_index,field_of_research,profile_url
Adelaide University,Pide Lun,Lecturer,Lecturer,B,2,Accounting & Finance,https://adelaide.edu.au/people/pide.lun
Adelaide University,Ardalan Marandi Alamdari,,,,2,Accounting & Finance,https://adelaide.edu.au/people/ardalan.marandialamdari
Adelaide University,Sunze Yu,,,,5,Accounting & Finance,https://adelaide.edu.au/people/sunze.yu
Adelaide University,Yunyan Zhang,Senior Lecturer,Senior Lecturer,C,3,Accounting & Finance,https://adelaide.edu.au/people/yunyan.zhang
Adelaide University,APrf Ivan Indriawan,Senior Lecturer,Senior Lecturer,C,14,Accounting & Finance,https://adelaide.edu.au/people/ivan.indriawan
Adelaide University,George Mihaylov,Senior Lecturer,Senior Lecturer,C,5,Accounting & Finance,https://adelaide.edu.au/people/george.mihaylov
Adelaide University,Cassidy Shaw,,,,2,Accounting & Finance,https://adelaide.edu.au/people/cassidy.shaw
Adelaide University,Gary Bowman,Associate Professor,Associate Professor,D,10,Accounting & Finance,https://adelaide.edu.au/people/g.bowman
Adelaide University,Grace Tulysewski,,,,1,Accounting & Finance,https://adelaide.edu.au/people/grace.tulysewski
Adelaide University,Jie Liang,,,,3,Accounting & Finance,https://adelaide.edu.au/people/jie.liang02
Adelaide University,Gary He,,,,0,Accounting & Finance,https://adelaide.edu.au/people/gary.he
Adelaide University,Mahmud Masum,,,,3,Accounting & Finance,https://adelaide.edu.au/people/mahmud.masum
Adelaide University,APrf Chelsea Liu,Associate Professor,Associate Professor,D,14,Accounting & Finance,https://adelaide.edu.au/people/chelsea.liu
Adelaide University,Gary Tan,Lecturer,Lecturer,B,,Accounting & Finance,https://adelaide.edu.au/people/gary.tan
Adelaide University,Tariq Haque,,,,,Accounting & Finance,https://adelaide.edu.au/people/tariq.haque
Adelaide University,APrf Max Bessell,,,,,Accounting & Finance,https://adelaide.edu.au/people/max.bessell
Adelaide University,Lisa Powell,Senior Lecturer,Senior Lecturer,C,,Accounting & Finance,https://adelaide.edu.au/people/lisa.powell
Adelaide University,Su Kim,Lecturer,Lecturer,B,,Accounting & Finance,https://adelaide.edu.au/people/su.kim
Adelaide University,APrf Chee Cheong,Associate Professor,Associate Professor,D,,Accounting & Finance,https://adelaide.edu.au/people/chee.cheong
Adelaide University,Prof Paul Coram,Professor,Professor,E,20,Accounting & Finance,https://adelaide.edu.au/people/paul.coram
Adelaide University,Prof Ralf Zurbrugg,Professor of Finance,Professor,E,,Accounting & Finance,https://adelaide.edu.au/people/ralf.zurbrugg
Adelaide University,Limin Xu,Senior Lecturer,Senior Lecturer,C,13,Accounting & Finance,https://adelaide.edu.au/people/limin.xu
Adelaide University,Lingyu Kong,Lecturer,Lecturer,B,3,Accounting & Finance,https://adelaide.edu.au/people/lingyu.kong
Adelaide University,Prof Volker Hessel,Professor,Professor,E,,Accounting & Finance,https://adelaide.edu.au/people/volker.hessel
Adelaide University,Sabine Schuhrer,,,,2,Accounting & Finance,https://adelaide.edu.au/people/sabine.schuhrer
Adelaide University,Tracey Dodd,Senior Lecturer,Senior Lecturer,C,9,Accounting & Finance,https://adelaide.edu.au/people/tracey.dodd
Adelaide University,Jane Luo,,,,6,Accounting & Finance,https://adelaide.edu.au/people/jane.luo
Adelaide University,APrf Bryan Howieson,,,,18,Accounting & Finance,https://adelaide.edu.au/people/bryan.howieson
Adelaide University,Abdallah Salem,Senior Lecturer,Senior Lecturer,C,,Accounting & Finance,https://adelaide.edu.au/people/abdallah.salem
Adelaide University,Prof Chris Leishman,Professor of Property and Housing Economics,Professor,E,26,Accounting & Finance,https://adelaide.edu.au/people/chris.leishman
Adelaide University,Prof Arvid Hoffmann,Professor of Marketing,Professor,E,30,Accounting & Finance,https://adelaide.edu.au/people/arvid.hoffmann
Adelaide University,Prof Indrit Troshani,Professor,Professor,E,32,Accounting & Finance,https://adelaide.edu.au/people/indrit.troshani
Adelaide University,Florian Ploeckl,Senior Lecturer,Senior Lecturer,C,10,Accounting & Finance,https://adelaide.edu.au/people/florian.ploeckl
Adelaide University,APrf Steve Goodman,Associate Professor,Associate Professor,D,26,Accounting & Finance,https://adelaide.edu.au/people/steve.goodman
Adelaide University,Prof Jian Zuo,Professor,Professor,E,,Accounting & Finance,https://adelaide.edu.au/people/jian.zuo
Adelaide University,Prof Alfred Yawson,Professor of Corporate Finance,Professor,E,20,Accounting & Finance,https://adelaide.edu.au/people/alfred.yawson
Adelaide University,Wenxiao Wang,"Lecturer, Economics",Lecturer,B,7,Accounting & Finance,https://adelaide.edu.au/people/wenxiao.wang
Adelaide University,APrf Sylvia Villios,Associate Professor,Associate Professor,D,3,Accounting & Finance,https://adelaide.edu.au/people/sylvia.villios
Adelaide University,Prof Firmin Doko Tchatoka,Professor,Professor,E,9,Accounting & Finance,https://adelaide.edu.au/people/firmin.dokotchatoka
Adelaide University,APrf Sigitas Karpavicius,,,,11,Accounting & Finance,https://adelaide.edu.au/people/sigitas.karpavicius
Adelaide University,Belen Blanco Pelaez,,,,10,Accounting & Finance,https://adelaide.edu.au/people/belen.blancopelaez
